timeframe,direction,target_pips,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,oos_samples,oos_hit_rate,oos_lift,all_samples,all_hit_rate,all_lift
h4,bull,100,price200+adx+bb+body,322,0.16459627,1.29926550,66,0.16666667,1.29411765,0,,,427,0.15690867,1.25326933
h4,bull,100,price200+macd+di+volatility,629,0.16375199,1.29260100,175,0.14857143,1.15361345,79,0.11392405,1.04240506,883,0.15628539,1.24829108
h4,bull,100,macd+di+volatility+body,324,0.16358025,1.29124535,69,0.13043478,1.01278772,0,,,426,0.15727700,1.25621127
h4,bull,100,price200+macd+adx,851,0.16333725,1.28932722,202,0.14356436,1.11473500,108,0.10185185,0.93194444,1161,0.15417743,1.23145428
h4,bull,100,adx+bb+body,429,0.16317016,1.28800829,81,0.14814815,1.15032680,50,0.06000000,0.54900000,560,0.15178571,1.21235102
h4,bull,100,price200+macd+adx+bb,828,0.16304348,1.28700828,198,0.14646465,1.13725490,106,0.09433962,0.86320755,1132,0.15371025,1.22772275
h4,bull,100,trend+macd+adx+volatility,276,0.16304348,1.28700828,71,0.12676056,0.98425849,0,,,375,0.15200000,1.21406257
h4,bull,100,price200+di+volatility+body,307,0.16286645,1.28561088,69,0.13043478,1.01278772,0,,,413,0.15254237,1.21839464
h4,bull,100,adx+volatility+bb+body,215,0.16279070,1.28501292,0,,,0,,,282,0.15248227,1.21791458
h4,bull,100,price20+price200+macd+adx,818,0.16259169,1.28344200,195,0.14871795,1.15475113,102,0.09803922,0.89705882,1115,0.15426009,1.23211448
h4,bull,100,trend+adx+di+body,296,0.16216216,1.28005148,62,0.09677419,0.75142315,0,,,386,0.14766839,1.17946493
h4,bull,150,rsi_extreme+adx+volatility+body,130,0.10000000,2.14353448,0,,,0,,,180,0.09444444,2.01549708
h4,bull,150,trend+macd+adx+body,213,0.08450704,1.81143759,0,,,0,,,281,0.07117438,1.51890087
h4,bull,150,macd+adx+di+volatility,486,0.08230453,1.76422591,115,0.07826087,1.43036789,50,0.02000000,0.56307692,651,0.07680492,1.63905970
h4,bull,150,price200+macd+adx+body,292,0.08219178,1.76180916,63,0.07936508,1.45054945,0,,,392,0.07397959,1.57876572
h4,bull,150,price200+macd+adx+volatility,384,0.08072917,1.73045753,99,0.09090909,1.66153846,0,,,531,0.07721281,1.64776431
h4,bull,150,trend+adx+volatility+body,236,0.08050847,1.72572691,52,0.05769231,1.05443787,0,,,310,0.07096774,1.51449116
h4,bull,150,adx+di+volatility+bb,539,0.07977737,1.71005534,118,0.06779661,1.23911343,52,0.01923077,0.54142012,709,0.07334274,1.56517486
h4,bull,150,rsi_extreme+volatility+body,163,0.07975460,1.70956738,0,,,0,,,232,0.09913793,2.11565870
h4,bull,150,price200+macd+adx,851,0.07873090,1.68762409,202,0.07920792,1.44767708,108,0.01851852,0.52136752,1161,0.07321275,1.56240083
h4,bull,150,price200+adx+volatility+body,267,0.07865169,1.68592600,64,0.09375000,1.71346154,0,,,363,0.07438017,1.58731418
h4,bull,150,macd+adx+di+bb,1006,0.07852883,1.68329249,231,0.08225108,1.50329670,113,0.01769912,0.49829816,1350,0.07407407,1.58078202
