timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,1,50,ichimoku_cloud_bull+adx25+atr_expand+horizontal_break_up,171,0.12865497,2.58086224,26,0.11538462,2.21447964,0.04003245,15,0.06666667,2.09602996,0.01186690
h4,1,50,superbb_bull+impulse_bull+mtf_adx25,140,0.12857143,2.57918635,28,0.07142857,1.37086835,0.01981206,22,0.09090909,2.85822268,0.02529543
h4,1,50,price20_bull+superbb_bull+impulse_bull+mtf_adx25,140,0.12857143,2.57918635,28,0.07142857,1.37086835,0.01981206,22,0.09090909,2.85822268,0.02529543
h4,1,50,ema20_rising+superbb_bull+impulse_bull+mtf_adx25,140,0.12857143,2.57918635,28,0.07142857,1.37086835,0.01981206,22,0.09090909,2.85822268,0.02529543
h4,1,50,adx25+atr_expand+mtf_volatility+cross_group_return_up,290,0.12758621,2.55942247,54,0.18518519,3.55410312,0.10382686,28,0.10714286,3.36861958,0.03711837
h4,1,50,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_impulse_bull,165,0.12727273,2.55313397,38,0.15789474,3.03034056,0.07443863,22,0.09090909,2.85822268,0.02529543
h4,1,50,superbb_bull+mtf_adx25,142,0.12676056,2.54285978,28,0.07142857,1.37086835,0.01981206,22,0.09090909,2.85822268,0.02529543
h4,1,50,price20_bull+superbb_bull+mtf_adx25,142,0.12676056,2.54285978,28,0.07142857,1.37086835,0.01981206,22,0.09090909,2.85822268,0.02529543
h4,1,50,ema20_rising+superbb_bull+mtf_adx25,142,0.12676056,2.54285978,28,0.07142857,1.37086835,0.01981206,22,0.09090909,2.85822268,0.02529543
h4,1,50,volatility+breakout20_up+impulse_bull+mtf_volatility,396,0.12626263,2.53287100,68,0.08823529,1.69342561,0.04106812,56,0.07142857,2.24574639,0.02812604
h4,1,50,rsi_up1+volatility+breakout20_up+mtf_volatility,317,0.12618297,2.53127297,55,0.09090909,1.74474153,0.03945816,40,0.05000000,1.57202247,0.01382067
