timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_ratio,oos_base_lift
h4,bear,1,atr_expand,4895,74564,0.08110317,0.05241135,0.02869182,1.54743513,1.54743513,940.00000000,18636.00000000,0.07553191,0.05773771,0.01779420,1.30819030,1.30819030,740.00000000,13251.00000000,0.09729730,0.04022338,0.05707392,2.41892399,2.41892399,2.25006031
d1,bear,1,atr_expand,649,14668,0.33590139,0.24904554,0.08685585,1.34875487,1.34875487,147.00000000,3609.00000000,0.41496599,0.24771405,0.16725194,1.67518148,1.67518148,140.00000000,2586.00000000,0.45000000,0.19876257,0.25123743,2.26400778,2.26400778,2.12599653
h4,bull,1,atr_expand,4895,74564,0.07456588,0.04822703,0.02633886,1.54614309,1.54614309,940.00000000,18636.00000000,0.07659574,0.05086929,0.02572646,1.50573660,1.50573660,740.00000000,13251.00000000,0.06756757,0.02980907,0.03775850,2.26667807,2.26667807,2.12435469
h4,bear,1,breakout20_down,4118,75341,0.08256435,0.05262739,0.02993696,1.56884762,1.56884762,896.00000000,18680.00000000,0.06919643,0.05808351,0.01111292,1.19132653,1.19132653,640.00000000,13351.00000000,0.08437500,0.04127032,0.04310468,2.04444760,2.04444760,1.95122417
h4,bear,3,atr_expand,4895,74564,0.19182840,0.16352395,0.02830444,1.17309051,1.17309051,940.00000000,18636.00000000,0.18297872,0.17122773,0.01175099,1.06862786,1.06862786,740.00000000,13251.00000000,0.21891892,0.12972606,0.08919286,1.68754776,1.68754776,1.62833312
h4,bear,1,rsi40,16985,62474,0.06299676,0.05178154,0.01121522,1.21658723,1.21658723,3553.00000000,16023.00000000,0.06867436,0.05635649,0.01231787,1.21857062,1.21857062,2790.00000000,11201.00000000,0.06881720,0.03687171,0.03194550,1.86639590,1.86639590,1.59144050
h4,bear,1,adx_up3,13589,65870,0.06593568,0.05175345,0.01418223,1.27403446,1.27403446,3261.00000000,16315.00000000,0.05826434,0.05865768,-0.00039334,0.99329430,0.99329430,2573.00000000,11418.00000000,0.06801399,0.03765984,0.03035416,1.80600873,1.80600873,1.57286571
d1,bear,3,atr_expand,649,14668,0.53775039,0.47300245,0.06474793,1.13688709,1.13688709,147.00000000,3609.00000000,0.65986395,0.44472153,0.21514242,1.48376883,1.48376883,140.00000000,2586.00000000,0.64285714,0.39984532,0.24301182,1.60776458,1.60776458,1.55910015
h4,bear,1,bb_lower,15951,63508,0.06413391,0.05167853,0.01245538,1.24101656,1.24101656,3886.00000000,15690.00000000,0.06973752,0.05583174,0.01390578,1.24906584,1.24906584,2575.00000000,11416.00000000,0.06679612,0.03792922,0.02886689,1.76107267,1.76107267,1.54470160
h4,bear,1,volatility,24772,54687,0.07141127,0.04637300,0.02503828,1.53993224,1.53993224,5376.00000000,14200.00000000,0.09095982,0.04633803,0.04462179,1.96296271,1.96296271,3939.00000000,10052.00000000,0.06651434,0.03412256,0.03239178,1.94927750,1.94927750,1.53818543
d1,bear,1,macd_cross_down,611,14706,0.22258592,0.25397797,-0.03139204,0.87639856,0.87639856,169.00000000,3587.00000000,0.29585799,0.25229997,0.04355802,1.17264376,1.17264376,111.00000000,2615.00000000,0.32432432,0.20688337,0.11744096,1.56766748,1.56766748,1.53224975
h4,bull,1,volatility,24772,54687,0.06519457,0.04289868,0.02229590,1.51973389,1.51973389,5376.00000000,14200.00000000,0.07645089,0.04288732,0.03356357,1.78259882,1.78259882,3939.00000000,10052.00000000,0.04772785,0.02556705,0.02216080,1.86677177,1.86677177,1.50058505
h4,bear,6,atr_expand,4895,74564,0.36261491,0.28401105,0.07860386,1.27676339,1.27676339,940.00000000,18636.00000000,0.31914894,0.27629320,0.04285574,1.15510965,1.15510965,740.00000000,13251.00000000,0.33243243,0.23062410,0.10180833,1.44144704,1.44144704,1.40855910
d1,bull,1,volatility,4573,10744,0.30658211,0.23119881,0.07538330,1.32605403,1.32605403,852.00000000,2904.00000000,0.34272300,0.22348485,0.11923816,1.53354022,1.53354022,788.00000000,1938.00000000,0.27791878,0.16460268,0.11331610,1.68842194,1.68842194,1.40819070
h4,bull,1,adx_up3,13589,65870,0.05379351,0.04903598,0.00475753,1.09702120,1.09702120,3261.00000000,16315.00000000,0.05765103,0.05099602,0.00665501,1.13050061,1.13050061,2573.00000000,11418.00000000,0.04469491,0.02890173,0.01579317,1.54644384,1.54644384,1.40522802
h4,bear,1,adx_cross25_up,1464,77995,0.07103825,0.05386243,0.01717582,1.31888322,1.31888322,345.00000000,19231.00000000,0.06956522,0.05839530,0.01116992,1.19128112,1.19128112,247.00000000,13744.00000000,0.06072874,0.04292782,0.01780092,1.41467097,1.41467097,1.40438987
h4,bear,3,breakout20_down,4118,75341,0.19645459,0.16356300,0.03289159,1.20109431,1.20109431,896.00000000,18680.00000000,0.17299107,0.17173448,0.00125660,1.00731709,1.00731709,640.00000000,13351.00000000,0.18750000,0.13190023,0.05559977,1.42152896,1.42152896,1.39463716
d1,bear,5,atr_expand,649,14668,0.63174114,0.58003818,0.05170296,1.08913717,1.08913717,147.00000000,3609.00000000,0.68027211,0.54336381,0.13690830,1.25196432,1.25196432,140.00000000,2586.00000000,0.67857143,0.48801237,0.19055905,1.39047996,1.39047996,1.36314349
d1,bear,1,volatility,4573,10744,0.28886945,0.23734177,0.05152768,1.21710329,1.21710329,852.00000000,2904.00000000,0.33685446,0.23002755,0.10682691,1.46440921,1.46440921,788.00000000,1938.00000000,0.28426396,0.18214654,0.10211742,1.56063330,1.56063330,1.34298709
h4,bear,1,bb_expand,18448,61011,0.06358413,0.05133501,0.01224912,1.23861151,1.23861151,4476.00000000,15100.00000000,0.06009830,0.05814570,0.00195261,1.03358128,1.03358128,3307.00000000,10684.00000000,0.05805866,0.03865593,0.01940273,1.50193404,1.50193404,1.34264258
d1,bear,1,rsi_cross45_down,790,14527,0.25569620,0.25256419,0.00313201,1.01240085,1.01240085,184.00000000,3572.00000000,0.30978261,0.25139978,0.05838283,1.23223104,1.23223104,135.00000000,2591.00000000,0.28148148,0.20802779,0.07345369,1.35309558,1.35309558,1.32984145
h4,bear,3,adx_up3,13589,65870,0.18632718,0.16092303,0.02540415,1.15786520,1.15786520,3261.00000000,16315.00000000,0.17540632,0.17106957,0.00433675,1.02535079,1.02535079,2573.00000000,11418.00000000,0.17877963,0.12445262,0.05432702,1.43652770,1.43652770,1.32977452
h4,bear,3,adx_cross25_up,1464,77995,0.18032787,0.16498493,0.01534293,1.09299597,1.09299597,345.00000000,19231.00000000,0.19420290,0.17138994,0.02281296,1.13310556,1.13310556,247.00000000,13744.00000000,0.17813765,0.13365832,0.04447933,1.33278383,1.33278383,1.32499941
d1,bear,1,rsi_cross50_down,843,14474,0.23250297,0.25390355,-0.02140059,0.91571372,0.91571372,230.00000000,3526.00000000,0.26956522,0.25326149,0.01630373,1.06437509,1.06437509,168.00000000,2558.00000000,0.27976190,0.20719312,0.07256879,1.35024708,1.35024708,1.32171742
h4,bear,1,rsi_down3,19314,60145,0.06404681,0.05101006,0.01303675,1.25557207,1.25557207,4776.00000000,14800.00000000,0.07223618,0.05418919,0.01804699,1.33303675,1.33303675,3384.00000000,10607.00000000,0.05614657,0.03912511,0.01702147,1.43505227,1.43505227,1.29842428
h4,bear,1,momentum_bear,25035,54424,0.05660076,0.05306482,0.00353593,1.06663425,1.06663425,5838.00000000,13738.00000000,0.06783145,0.05466589,0.01316556,1.24083682,1.24083682,3961.00000000,10030.00000000,0.05554153,0.03838485,0.01715668,1.44696505,1.44696505,1.28443231
h4,bull,3,atr_expand,4895,74564,0.17793667,0.15939327,0.01854340,1.11633739,1.11633739,940.00000000,18636.00000000,0.20212766,0.16248122,0.03964644,1.24400630,1.24400630,740.00000000,13251.00000000,0.15405405,0.11863256,0.03542150,1.29858160,1.29858160,1.27839281
h4,bear,1,di_strong_bear,30076,49383,0.05958239,0.05088796,0.00869443,1.17085445,1.17085445,7285.00000000,12291.00000000,0.06643789,0.05394191,0.01249598,1.23165620,1.23165620,5789.00000000,8202.00000000,0.05510451,0.03486954,0.02023496,1.58030482,1.58030482,1.27432592
h4,bear,3,volatility,24772,54687,0.19481673,0.15188253,0.04293420,1.28268028,1.28268028,5376.00000000,14200.00000000,0.22116815,0.15309859,0.06806956,1.44461260,1.44461260,3939.00000000,10052.00000000,0.17085555,0.12017509,0.05068046,1.42172182,1.42172182,1.27083464
h4,bear,1,price20_bear,38132,41327,0.05724851,0.05134658,0.00590193,1.11494297,1.11494297,9170.00000000,10406.00000000,0.06706652,0.05112435,0.01594217,1.31183124,1.31183124,6233.00000000,7758.00000000,0.05486924,0.03390049,0.02096875,1.61853839,1.61853839,1.26888529
h4,bear,1,ema20_falling,38132,41327,0.05724851,0.05134658,0.00590193,1.11494297,1.11494297,9170.00000000,10406.00000000,0.06706652,0.05112435,0.01594217,1.31183124,1.31183124,6233.00000000,7758.00000000,0.05486924,0.03390049,0.02096875,1.61853839,1.61853839,1.26888529
h4,bear,1,di_spread_down3,19779,59680,0.06319834,0.05118968,0.01200866,1.23459150,1.23459150,4956.00000000,14620.00000000,0.06961259,0.05485636,0.01475623,1.26899760,1.26899760,3491.00000000,10500.00000000,0.05442567,0.03952381,0.01490186,1.37703492,1.37703492,1.25862726
h4,bear,1,price200_cross_down,1600,77859,0.06062500,0.05404642,0.00657858,1.12172098,1.12172098,428.00000000,19148.00000000,0.06775701,0.05838730,0.00936971,1.16047515,1.16047515,277.00000000,13714.00000000,0.05415162,0.04302173,0.01112989,1.25870403,1.25870403,1.25228988
d1,bear,1,di_cross_down,725,14592,0.23724138,0.25349507,-0.01625369,0.93588165,0.93588165,193.00000000,3563.00000000,0.29533679,0.25203480,0.04330199,1.17180955,1.17180955,140.00000000,2586.00000000,0.26428571,0.20881671,0.05546901,1.26563492,1.26563492,1.24860114
h4,bull,3,volatility,24772,54687,0.18286775,0.15041966,0.03244809,1.21571710,1.21571710,5376.00000000,14200.00000000,0.20238095,0.15000000,0.05238095,1.34920635,1.34920635,3939.00000000,10052.00000000,0.15003808,0.10893355,0.04110454,1.37733588,1.37733588,1.24506690
h4,bear,3,rsi40,16985,62474,0.16950250,0.16411627,0.00538623,1.03281960,1.03281960,3553.00000000,16023.00000000,0.17984802,0.17000562,0.00984240,1.05789455,1.05789455,2790.00000000,11201.00000000,0.16630824,0.12650656,0.03980168,1.31462148,1.31462148,1.23701150
h4,bear,6,adx_cross25_up,1464,77995,0.28620219,0.28890313,-0.00270095,0.99065102,0.99065102,345.00000000,19231.00000000,0.31304348,0.27772867,0.03531481,1.12715580,1.12715580,247.00000000,13744.00000000,0.29149798,0.23501164,0.05648633,1.24035547,1.24035547,1.23511453
h4,bear,1,macd_bear,39322,40137,0.05610091,0.05229589,0.00380502,1.07275952,1.07275952,9904.00000000,9672.00000000,0.06411551,0.05293631,0.01117920,1.21118204,1.21118204,6829.00000000,7162.00000000,0.05330209,0.03364982,0.01965228,1.58402323,1.58402323,1.23264396
h4,bear,1,bb_bear,38151,41308,0.05703651,0.05153965,0.00549686,1.10665302,1.10665302,9223.00000000,10353.00000000,0.06678955,0.05128948,0.01550007,1.30220751,1.30220751,6313.00000000,7678.00000000,0.05322351,0.03503517,0.01818834,1.51914531,1.51914531,1.23082659
d1,bull,1,atr_expand,649,14668,0.32203390,0.25068176,0.07135214,1.28463237,1.28463237,147.00000000,3609.00000000,0.44897959,0.24244943,0.20653016,1.85184840,1.85184840,140.00000000,2586.00000000,0.24285714,0.19489559,0.04796155,1.24608844,1.24608844,1.23053638
h4,bear,1,ema20_slope_down3,38099,41360,0.05648442,0.05205513,0.00442930,1.08508857,1.08508857,9176.00000000,10400.00000000,0.06484307,0.05307692,0.01176615,1.22168101,1.22168101,6202.00000000,7789.00000000,0.05304740,0.03543459,0.01761282,1.49705156,1.49705156,1.22675410
d1,bear,1,price20_cross_down,1020,14297,0.23529412,0.25396936,-0.01867525,0.92646654,0.92646654,266.00000000,3490.00000000,0.26691729,0.25329513,0.01362216,1.05377981,1.05377981,185.00000000,2541.00000000,0.25945946,0.20818575,0.05127371,1.24628825,1.24628825,1.22579980
d1,bear,3,rsi_cross45_down,790,14527,0.47594937,0.47573484,0.00021453,1.00045094,1.00045094,184.00000000,3572.00000000,0.47826087,0.45184770,0.02641317,1.05845590,1.05845590,135.00000000,2591.00000000,0.50370370,0.40756465,0.09613906,1.23588664,1.23588664,1.22161592
d1,bull,3,volatility,4573,10744,0.55324732,0.47524200,0.07800533,1.16413812,1.16413812,852.00000000,2904.00000000,0.58098592,0.45557851,0.12540740,1.27527067,1.27527067,788.00000000,1938.00000000,0.53553299,0.40247678,0.13305621,1.33059352,1.33059352,1.21452824
h4,bear,6,breakout20_down,4118,75341,0.31544439,0.28739995,0.02804444,1.09757982,1.09757982,896.00000000,18680.00000000,0.28794643,0.27789079,0.01005564,1.03618557,1.03618557,640.00000000,13351.00000000,0.28437500,0.23369036,0.05068464,1.21688802,1.21688802,1.20493356
h4,bear,1,di_bear,41436,38023,0.05652090,0.05162665,0.00489425,1.09480090,1.09480090,10129.00000000,9447.00000000,0.06269128,0.05419710,0.00849418,1.15672763,1.15672763,7715.00000000,6276.00000000,0.05197667,0.03250478,0.01947189,1.59904693,1.59904693,1.20199268
h4,bear,3,bb_lower,15951,63508,0.17585104,0.16260944,0.01324161,1.08143198,1.08143198,3886.00000000,15690.00000000,0.17833248,0.17017208,0.00816039,1.04795376,1.04795376,2575.00000000,11416.00000000,0.16116505,0.12841626,0.03274879,1.25502060,1.25502060,1.19875608
h4,bear,6,price200_cross_down,1600,77859,0.29562500,0.28871421,0.00691079,1.02393642,1.02393642,428.00000000,19148.00000000,0.25000000,0.27898475,-0.02898475,0.89610633,0.89610633,277.00000000,13714.00000000,0.28158845,0.23508823,0.04650022,1.19779900,1.19779900,1.19312658
d1,bear,3,volatility,4573,10744,0.50382681,0.46379375,0.04003306,1.08631652,1.08631652,852.00000000,2904.00000000,0.53403756,0.42940771,0.10462985,1.24366084,1.24366084,788.00000000,1938.00000000,0.48984772,0.38080495,0.10904276,1.28634807,1.28634807,1.18801145
h4,bear,1,adx25,34632,44827,0.06092631,0.04896602,0.01196029,1.24425683,1.24425683,7832.00000000,11744.00000000,0.06294688,0.05568801,0.00725887,1.13034895,1.13034895,6156.00000000,7835.00000000,0.05133203,0.03688577,0.01444626,1.39164874,1.39164874,1.18708510
h4,bear,1,adx_rising,37723,41736,0.05649074,0.05208932,0.00440141,1.08449739,1.08449739,9209.00000000,10367.00000000,0.05896406,0.05826179,0.00070226,1.01205361,1.01205361,6596.00000000,7395.00000000,0.05109157,0.03624070,0.01485087,1.40978420,1.40978420,1.18152424
h4,bear,3,price200_cross_down,1600,77859,0.16437500,0.16528597,-0.00091097,0.99448855,0.99448855,428.00000000,19148.00000000,0.15887850,0.17208064,-0.01320213,0.92327940,0.92327940,277.00000000,13714.00000000,0.15884477,0.13395071,0.02489406,1.18584492,1.18584492,1.18149767
d1,bear,10,atr_expand,649,14668,0.73651772,0.69300518,0.04351254,1.06278819,1.06278819,147.00000000,3609.00000000,0.72789116,0.67082294,0.05706821,1.08507195,1.08507195,140.00000000,2586.00000000,0.72857143,0.61368910,0.11488233,1.18719957,1.18719957,1.17589444
h4,bull,3,adx_cross25_up,1464,77995,0.15437158,0.16065132,-0.00627974,0.96091075,0.96091075,345.00000000,19231.00000000,0.15942029,0.16447403,-0.00505374,0.96927335,0.96927335,247.00000000,13744.00000000,0.14170040,0.12012515,0.02157526,1.17960652,1.17960652,1.17587803
h4,bull,1,breakout20_up,5109,74350,0.06576629,0.04875588,0.01701041,1.34888938,1.34888938,1251.00000000,18325.00000000,0.06155076,0.05145975,0.01009100,1.19609509,1.19609509,963.00000000,13028.00000000,0.03738318,0.03139392,0.00598926,1.19077760,1.19077760,1.17534390
d1,bull,5,volatility,4573,10744,0.65711787,0.58842144,0.06869642,1.11674697,1.11674697,852.00000000,2904.00000000,0.68544601,0.57747934,0.10796667,1.18696196,1.18696196,788.00000000,1938.00000000,0.66370558,0.52579979,0.13790579,1.26227814,1.26227814,1.17332128
h4,bear,1,macd_cross_down,3155,76304,0.06148970,0.05387660,0.00761310,1.14130625,1.14130625,726.00000000,18850.00000000,0.08815427,0.05745358,0.03070069,1.53435641,1.53435641,494.00000000,13497.00000000,0.05060729,0.04297251,0.00763478,1.17766648,1.17766648,1.17032489
h4,bear,6,adx_up3,13589,65870,0.30730738,0.28504630,0.02226108,1.07809636,1.07809636,3261.00000000,16315.00000000,0.29285495,0.27545204,0.01740291,1.06317947,1.06317947,2573.00000000,11418.00000000,0.27594248,0.22700998,0.04893250,1.21555217,1.21555217,1.16920389
h4,bull,1,adx_rising,37723,41736,0.05116242,0.04866302,0.00249940,1.05136130,1.05136130,9209.00000000,10367.00000000,0.05766098,0.04716890,0.01049208,1.22243644,1.22243644,6596.00000000,7395.00000000,0.03714372,0.02704530,0.01009842,1.37338918,1.37338918,1.16781536
h4,bull,6,volatility,24772,54687,0.32116906,0.27944484,0.04172422,1.14931112,1.14931112,5376.00000000,14200.00000000,0.33426339,0.26401408,0.07024931,1.26608167,1.26608167,3939.00000000,10052.00000000,0.26834222,0.21547951,0.05286271,1.24532594,1.24532594,1.16486999
h4,bull,1,di_spread_up3,20043,59416,0.05328544,0.04869059,0.00459485,1.09436830,1.09436830,4948.00000000,14628.00000000,0.06123686,0.04901559,0.01222128,1.24933450,1.24933450,3597.00000000,10394.00000000,0.03697526,0.03001732,0.00695794,1.23179751,1.23179751,1.16251870
h4,bear,12,atr_expand,4895,74564,0.48621042,0.42562094,0.06058948,1.14235548,1.14235548,940.00000000,18636.00000000,0.43829787,0.40679330,0.03150457,1.07744613,1.07744613,740.00000000,13251.00000000,0.42432432,0.36284054,0.06148378,1.16945125,1.16945125,1.15906318
d1,bear,3,macd_cross_down,611,14706,0.46481178,0.47620019,-0.01138841,0.97608483,0.97608483,169.00000000,3587.00000000,0.44378698,0.45358238,-0.00979540,0.97840437,0.97840437,111.00000000,2615.00000000,0.47747748,0.40956023,0.06791725,1.16582970,1.16582970,1.15801032
h4,bear,6,volatility,24772,54687,0.33073632,0.26988132,0.06085499,1.22548796,1.22548796,5376.00000000,14200.00000000,0.32440476,0.26091549,0.06348927,1.24333269,1.24333269,3939.00000000,10052.00000000,0.27316578,0.22144847,0.05171731,1.23354106,1.23354106,1.15743864
h4,bear,1,rsi_down1,16665,62794,0.06624662,0.05097621,0.01527042,1.29955968,1.29955968,4264.00000000,15312.00000000,0.06988743,0.05544671,0.01444072,1.26044325,1.26044325,2947.00000000,11044.00000000,0.04988124,0.04147048,0.00841075,1.20281302,1.20281302,1.15353448
h4,bull,1,bb_expand,18448,61011,0.05729618,0.04759797,0.00969821,1.20375257,1.20375257,4476.00000000,15100.00000000,0.05786416,0.05039735,0.00746681,1.14815885,1.14815885,3307.00000000,10684.00000000,0.03658905,0.03032572,0.00626333,1.20653533,1.20653533,1.15037629
h4,bear,3,di_strong_bear,30076,49383,0.16664450,0.16442905,0.00221545,1.01347357,1.01347357,7285.00000000,12291.00000000,0.17776253,0.16825319,0.00950933,1.05651799,1.05651799,5789.00000000,8202.00000000,0.15425808,0.12045842,0.03379965,1.28059184,1.28059184,1.14738157
h4,bull,1,adx_cross25_up,1464,77995,0.05191257,0.04981089,0.00210168,1.04219325,1.04219325,345.00000000,19231.00000000,0.05797101,0.05199938,0.00597164,1.11484058,1.11484058,247.00000000,13744.00000000,0.03643725,0.03172293,0.00471431,1.14860900,1.14860900,1.14560342
d1,bull,10,volatility,4573,10744,0.74830527,0.70197319,0.04633208,1.06600263,1.06600263,852.00000000,2904.00000000,0.79225352,0.71694215,0.07531137,1.10504526,1.10504526,788.00000000,1938.00000000,0.77918782,0.64396285,0.13522497,1.20998877,1.20998877,1.14074436
h4,bear,3,bb_expand,18448,61011,0.18446444,0.15946305,0.02500139,1.15678487,1.15678487,4476.00000000,15100.00000000,0.17515639,0.17079470,0.00436169,1.02553761,1.02553761,3307.00000000,10684.00000000,0.15331116,0.12860352,0.02470764,1.19212257,1.19212257,1.14033834
h4,bear,1,price200_bear,37403,42056,0.05344491,0.05483165,-0.00138674,0.97470909,0.97470909,7673.00000000,11903.00000000,0.06737912,0.05292783,0.01445129,1.27303759,1.27303759,5764.00000000,8227.00000000,0.04909785,0.03913942,0.00995843,1.25443479,1.25443479,1.13541818
h4,bear,1,ema200_falling,37403,42056,0.05344491,0.05483165,-0.00138674,0.97470909,0.97470909,7673.00000000,11903.00000000,0.06737912,0.05292783,0.01445129,1.27303759,1.27303759,5764.00000000,8227.00000000,0.04909785,0.03913942,0.00995843,1.25443479,1.25443479,1.13541818
h4,bear,1,rsi_cross50_down,4234,75225,0.06376949,0.05363908,0.01013040,1.18886233,1.18886233,1099.00000000,18477.00000000,0.07734304,0.05747686,0.01986618,1.34563779,1.34563779,755.00000000,13236.00000000,0.04900662,0.04291327,0.00609336,1.14199235,1.14199235,1.13330852
h4,bull,3,adx_up3,13589,65870,0.17057914,0.15846364,0.01211550,1.07645605,1.07645605,3261.00000000,16315.00000000,0.17049985,0.16316273,0.00733711,1.04496807,1.04496807,2573.00000000,11418.00000000,0.13641663,0.11692065,0.01949598,1.16674542,1.16674542,1.13203151
d1,bull,1,di_cross_up,724,14593,0.22651934,0.25505379,-0.02853446,0.88812377,0.88812377,196.00000000,3560.00000000,0.31122449,0.24719101,0.06403348,1.25904453,1.25904453,139.00000000,2587.00000000,0.22302158,0.19597990,0.02704168,1.13798192,1.13798192,1.13003129
h4,bear,3,di_spread_down3,19779,59680,0.17584307,0.16176273,0.01408033,1.08704311,1.08704311,4956.00000000,14620.00000000,0.17998386,0.16901505,0.01096881,1.06489842,1.06489842,3491.00000000,10500.00000000,0.15153251,0.12876190,0.02277061,1.17684274,1.17684274,1.12710865
d1,bear,5,volatility,4573,10744,0.60463591,0.57269173,0.03194417,1.05577900,1.05577900,852.00000000,2904.00000000,0.63028169,0.52479339,0.10548830,1.20100920,1.20100920,788.00000000,1938.00000000,0.55964467,0.47265222,0.08699245,1.18405171,1.18405171,1.12423830
d1,bull,5,atr_expand,649,14668,0.67334361,0.60608127,0.06726234,1.11097908,1.11097908,147.00000000,3609.00000000,0.78911565,0.59434746,0.19476818,1.32770087,1.32770087,140.00000000,2586.00000000,0.63571429,0.56187162,0.07384267,1.13142267,1.13142267,1.12383732
h4,bear,6,di_cross_down,3507,75952,0.28771029,0.28890615,-0.00119586,0.99586074,0.99586074,892.00000000,18684.00000000,0.27466368,0.27852708,-0.00386340,0.98612916,0.98612916,601.00000000,13390.00000000,0.26455907,0.23472741,0.02983166,1.12709065,1.12709065,1.12097090
h4,bear,3,adx_rising,37723,41736,0.16819977,0.16261740,0.00558237,1.03432823,1.03432823,9209.00000000,10367.00000000,0.17233141,0.17131282,0.00101860,1.00594582,1.00594582,6596.00000000,7395.00000000,0.15069739,0.11994591,0.03075148,1.25637792,1.25637792,1.12089698
h4,bull,6,atr_expand,4895,74564,0.34075587,0.28928169,0.05147418,1.17793792,1.17793792,940.00000000,18636.00000000,0.35106383,0.27988839,0.07117544,1.25429937,1.25429937,740.00000000,13251.00000000,0.25810811,0.22881292,0.02929519,1.12803118,1.12803118,1.12044385
h4,bear,3,momentum_bear,25035,54424,0.16133413,0.16707702,-0.00574289,0.96562728,0.96562728,5838.00000000,13738.00000000,0.18293936,0.16705488,0.01588448,1.09508539,1.09508539,3961.00000000,10030.00000000,0.15046705,0.12811565,0.02235140,1.17446268,1.17446268,1.11918371
h4,bear,3,rsi_down3,19314,60145,0.17707363,0.16147643,0.01559719,1.09659114,1.09659114,4776.00000000,14800.00000000,0.18634841,0.16709459,0.01925381,1.11522703,1.11522703,3384.00000000,10607.00000000,0.15041371,0.12934854,0.02106517,1.16285586,1.16285586,1.11878694
h4,bear,1,di_cross_down,3507,75952,0.06387226,0.05373130,0.01014095,1.18873451,1.18873451,892.00000000,18684.00000000,0.06390135,0.05833869,0.00556266,1.09535113,1.09535113,601.00000000,13390.00000000,0.04825291,0.04301718,0.00523573,1.12171265,1.12171265,1.11587849
h4,bear,3,price20_bear,38132,41327,0.16521557,0.16531565,-0.00010009,0.99939458,0.99939458,9170.00000000,10406.00000000,0.18178844,0.16298289,0.01880555,1.11538356,1.11538356,6233.00000000,7758.00000000,0.14904540,0.12271204,0.02633336,1.21459479,1.21459479,1.10860938
h4,bear,3,ema20_falling,38132,41327,0.16521557,0.16531565,-0.00010009,0.99939458,0.99939458,9170.00000000,10406.00000000,0.18178844,0.16298289,0.01880555,1.11538356,1.11538356,6233.00000000,7758.00000000,0.14904540,0.12271204,0.02633336,1.21459479,1.21459479,1.10860938
d1,bear,20,price20_cross_down,1020,14297,0.73921569,0.78317129,-0.04395561,0.94387485,0.94387485,266.00000000,3490.00000000,0.75939850,0.76389685,-0.00449835,0.99411131,0.99411131,185.00000000,2541.00000000,0.80000000,0.71664699,0.08335301,1.11630972,1.11630972,1.10756729
h4,bear,12,adx_cross25_up,1464,77995,0.44467213,0.42906597,0.01560617,1.03637242,1.03637242,345.00000000,19231.00000000,0.45217391,0.40751911,0.04465480,1.10957720,1.10957720,247.00000000,13744.00000000,0.40485830,0.36539581,0.03946249,1.10799930,1.10799930,1.10589076
h4,bear,3,di_bear,41436,38023,0.16553239,0.16497909,0.00055330,1.00335373,1.00335373,10129.00000000,9447.00000000,0.17454833,0.16883667,0.00571166,1.03382949,1.03382949,7715.00000000,6276.00000000,0.14854180,0.11711281,0.03142899,1.26836510,1.26836510,1.10486356
h4,bear,6,bb_lower,15951,63508,0.28969971,0.28864080,0.00105890,1.00366859,1.00366859,3886.00000000,15690.00000000,0.29001544,0.27546208,0.01455336,1.05283254,1.05283254,2575.00000000,11416.00000000,0.26058252,0.23046601,0.03011651,1.13067659,1.13067659,1.10412177
