timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_ratio,oos_base_lift
d1,bear,3,ema20_slope_down3,7332,7985,0.47244954,0.47877270,-0.00632316,0.98679298,0.98679298,1531.00000000,2225.00000000,0.41672110,0.47820225,-0.06148115,0.87143275,0.87143275,1182.00000000,1544.00000000,0.37901861,0.43782383,-0.05880522,0.86568748,0.86568748,0.91922130
d1,bull,1,di_strong_bull,5925,9392,0.24573840,0.25873083,-0.01299244,0.94978396,0.94978396,1571.00000000,2185.00000000,0.23169955,0.26407323,-0.03237367,0.87740646,0.87740646,1065.00000000,1661.00000000,0.18122066,0.20770620,-0.02648554,0.87248554,0.87248554,0.91822958
d1,bull,1,price20_bull,7968,7349,0.25652610,0.25064635,0.00587976,1.02345838,1.02345838,2218.00000000,1538.00000000,0.24165915,0.26332900,-0.02166985,0.91770809,0.91770809,1541.00000000,1185.00000000,0.18105127,0.21856540,-0.03751414,0.82836197,0.82836197,0.91737128
d1,bull,1,ema20_rising,7968,7349,0.25652610,0.25064635,0.00587976,1.02345838,1.02345838,2218.00000000,1538.00000000,0.24165915,0.26332900,-0.02166985,0.91770809,0.91770809,1541.00000000,1185.00000000,0.18105127,0.21856540,-0.03751414,0.82836197,0.82836197,0.91737128
d1,bear,10,di_bear,6955,8362,0.69115744,0.69791916,-0.00676172,0.99031160,0.99031160,1540.00000000,2216.00000000,0.63961039,0.69629964,-0.05668925,0.91858498,0.91858498,1248.00000000,1478.00000000,0.56810897,0.66305819,-0.09494921,0.85680109,0.85680109,0.91691241
h4,bull,3,price20_cross_up,4894,74565,0.15304454,0.16102729,-0.00798275,0.95042612,0.95042612,1281.00000000,18295.00000000,0.15846995,0.16479913,-0.00632918,0.96159458,0.96159458,861.00000000,13130.00000000,0.11033682,0.12117289,-0.01083607,0.91057349,0.91057349,0.91561235
d1,bear,10,ema20_slope_down3,7332,7985,0.68971631,0.69956168,-0.00984537,0.98592638,0.98592638,1531.00000000,2225.00000000,0.62769432,0.70426966,-0.07657535,0.89126985,0.89126985,1182.00000000,1544.00000000,0.56683587,0.65997409,-0.09313822,0.85887594,0.85887594,0.91485766
d1,bear,3,price20_bear,7335,7982,0.46775733,0.48308695,-0.01532962,0.96826737,0.96826737,1538.00000000,2218.00000000,0.42327698,0.47385032,-0.05057333,0.89327150,0.89327150,1185.00000000,1541.00000000,0.37721519,0.43932511,-0.06210992,0.85862424,0.85862424,0.91484752
d1,bear,3,ema20_falling,7335,7982,0.46775733,0.48308695,-0.01532962,0.96826737,0.96826737,1538.00000000,2218.00000000,0.42327698,0.47385032,-0.05057333,0.89327150,0.89327150,1185.00000000,1541.00000000,0.37721519,0.43932511,-0.06210992,0.85862424,0.85862424,0.91484752
d1,bull,3,di_bull,8206,7111,0.49281014,0.50513289,-0.01232275,0.97560493,0.97560493,2216.00000000,1540.00000000,0.47021661,0.50389610,-0.03367950,0.93316182,0.93316182,1478.00000000,1248.00000000,0.40324763,0.48557692,-0.08232929,0.83045057,0.83045057,0.91452000
