timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_continuation_rate,oos_pairs_n_ge5,oos_pair_continuation_mean,oos_pair_continuation_min
d1,50,100,volatility+close_near_high,1221,166,0.45180723,11,0.45319691,0.30000000
d1,100,150,volatility+close_near_high,1221,117,0.41880342,10,0.41586835,0.16666667
d1,150,200,volatility+close_near_high,1221,79,0.40506329,7,0.38026438,0.20000000
d1,200,300,volatility+close_near_high,1221,55,0.16363636,4,0.19682540,0.11111111
d1,50,100,trend_bull+volatility+nr4+close_near_high,122,17,0.52941176,1,0.60000000,0.60000000
d1,50,100,price200_bull+volatility+nr4+close_near_high,161,23,0.47826087,1,0.60000000,0.60000000
d1,50,100,sma_stack_bull+strong_close_bull+cross_group_bull,299,42,0.38095238,5,0.31939394,0.00000000
d1,100,150,sma_stack_bull+strong_close_bull+cross_group_bull,299,25,0.44000000,2,0.32142857,0.14285714
d1,150,200,sma_stack_bull+strong_close_bull+cross_group_bull,299,18,0.33333333,2,0.26666667,0.20000000
d1,200,300,sma_stack_bull+strong_close_bull+cross_group_bull,299,14,0.14285714,1,0.40000000,0.40000000
d1,50,100,sma_stack_bull+volatility+strong_close_bull,323,61,0.49180328,5,0.45174603,0.28571429
d1,100,150,sma_stack_bull+volatility+strong_close_bull,323,47,0.36170213,4,0.34880952,0.16666667
d1,150,200,sma_stack_bull+volatility+strong_close_bull,323,28,0.35714286,3,0.28373016,0.14285714
d1,200,300,sma_stack_bull+volatility+strong_close_bull,323,21,0.19047619,2,0.32142857,0.14285714
d1,50,100,sma_stack_bull+volatility+strong_close_bull+cross_target_relative_up,120,17,0.52941176,1,0.66666667,0.66666667
d1,100,150,sma_stack_bull+volatility+strong_close_bull+cross_target_relative_up,120,14,0.21428571,1,0.00000000,0.00000000
d1,50,100,sma_stack_bull+close_near_high+cross_group_bull,390,61,0.39344262,6,0.33636788,0.00000000
d1,100,150,sma_stack_bull+close_near_high+cross_group_bull,390,36,0.38888889,3,0.31666667,0.20000000
d1,150,200,sma_stack_bull+close_near_high+cross_group_bull,390,26,0.34615385,2,0.30952381,0.28571429
d1,200,300,sma_stack_bull+close_near_high+cross_group_bull,390,18,0.16666667,2,0.14285714,0.00000000
d1,50,100,volatility+mtf_di_strong_bull+cross_group_return_up,752,92,0.48913043,8,0.45549451,0.00000000
d1,100,150,volatility+mtf_di_strong_bull+cross_group_return_up,752,63,0.42857143,6,0.48811328,0.16666667
d1,150,200,volatility+mtf_di_strong_bull+cross_group_return_up,752,38,0.31578947,3,0.27500000,0.12500000
d1,200,300,volatility+mtf_di_strong_bull+cross_group_return_up,752,16,0.00000000,1,0.00000000,0.00000000
d1,50,100,price200_bull+volatility+close_near_high+cross_target_relative_up,296,36,0.38888889,3,0.47380952,0.25000000
d1,100,150,price200_bull+volatility+close_near_high+cross_target_relative_up,296,24,0.33333333,3,0.20000000,0.00000000
d1,50,100,trend_bull+volatility+close_near_high,548,80,0.45000000,5,0.43210339,0.30000000
d1,100,150,trend_bull+volatility+close_near_high,548,53,0.35849057,5,0.40888889,0.25000000
d1,150,200,trend_bull+volatility+close_near_high,548,30,0.46666667,3,0.30952381,0.14285714
d1,200,300,trend_bull+volatility+close_near_high,548,22,0.13636364,2,0.18333333,0.16666667
d1,50,100,sma_stack_bull+close_near_high+cross_target_relative_up,398,74,0.36486486,6,0.35921717,0.16666667
d1,100,150,sma_stack_bull+close_near_high+cross_target_relative_up,398,41,0.36585366,5,0.35008547,0.00000000
d1,150,200,sma_stack_bull+close_near_high+cross_target_relative_up,398,25,0.40000000,2,0.43750000,0.25000000
d1,200,300,sma_stack_bull+close_near_high+cross_target_relative_up,398,16,0.25000000,1,0.33333333,0.33333333
d1,50,100,volatility+close_near_high+cross_target_relative_up,424,51,0.39215686,4,0.43154762,0.25000000
d1,100,150,volatility+close_near_high+cross_target_relative_up,424,36,0.36111111,3,0.16190476,0.00000000
d1,150,200,volatility+close_near_high+cross_target_relative_up,424,23,0.26086957,1,0.16666667,0.16666667
d1,50,100,trend_bull+close_near_high+cross_target_relative_up,583,85,0.32941176,7,0.32762951,0.20000000
d1,100,150,trend_bull+close_near_high+cross_target_relative_up,583,43,0.27906977,5,0.28666667,0.00000000
d1,150,200,trend_bull+close_near_high+cross_target_relative_up,583,22,0.36363636,2,0.35000000,0.20000000
d1,200,300,trend_bull+close_near_high+cross_target_relative_up,583,12,0.33333333,1,0.40000000,0.40000000
d1,50,100,price200_bull+volatility+close_near_high,755,113,0.46017699,8,0.47344191,0.33333333
d1,100,150,price200_bull+volatility+close_near_high,755,76,0.44736842,6,0.45720391,0.20000000
d1,150,200,price200_bull+volatility+close_near_high,755,51,0.47058824,5,0.51269841,0.28571429
d1,200,300,price200_bull+volatility+close_near_high,755,36,0.19444444,4,0.21974206,0.12500000
d1,50,100,trend_bull+volatility+strong_close_bull+cross_target_relative_up,158,15,0.46666667,1,0.66666667,0.66666667
d1,100,150,trend_bull+volatility+strong_close_bull+cross_target_relative_up,158,12,0.08333333,1,0.00000000,0.00000000
d1,50,100,sma_stack_bull+volatility+close_near_high,435,79,0.44303797,6,0.45774411,0.26666667
d1,100,150,sma_stack_bull+volatility+close_near_high,435,55,0.38181818,5,0.37777778,0.16666667
d1,150,200,sma_stack_bull+volatility+close_near_high,435,34,0.41176471,4,0.38809524,0.22222222
d1,200,300,sma_stack_bull+volatility+close_near_high,435,26,0.15384615,2,0.25000000,0.12500000
d1,50,100,trend_bull+strong_close_bull+cross_group_bull,430,49,0.34693878,5,0.28808081,0.00000000
d1,100,150,trend_bull+strong_close_bull+cross_group_bull,430,27,0.44444444,2,0.23809524,0.14285714
d1,150,200,trend_bull+strong_close_bull+cross_group_bull,430,19,0.47368421,1,0.40000000,0.40000000
d1,50,100,trend_bull+close_near_high+cross_group_bull,564,70,0.35714286,6,0.30755495,0.00000000
d1,100,150,trend_bull+close_near_high+cross_group_bull,564,37,0.37837838,3,0.25185185,0.20000000
d1,150,200,trend_bull+close_near_high+cross_group_bull,564,26,0.42307692,1,0.37500000,0.37500000
d1,200,300,trend_bull+close_near_high+cross_group_bull,564,19,0.15789474,1,0.16666667,0.16666667
d1,50,100,volatility+close_near_high+mtf_trend_bull+cross_group_return_up,257,31,0.35483871,3,0.25000000,0.16666667
d1,100,150,volatility+close_near_high+mtf_trend_bull+cross_group_return_up,257,21,0.38095238,2,0.42500000,0.25000000
d1,50,100,price200_bull+volatility+cross_group_bull,851,119,0.43697479,10,0.45889490,0.30769231
d1,100,150,price200_bull+volatility+cross_group_bull,851,81,0.46913580,7,0.49773243,0.42857143
d1,150,200,price200_bull+volatility+cross_group_bull,851,63,0.49206349,7,0.47301587,0.00000000
d1,200,300,price200_bull+volatility+cross_group_bull,851,40,0.15000000,4,0.20616883,0.00000000
d1,50,100,sma_stack_bull+strong_close_bull+cross_target_relative_up,294,52,0.32692308,6,0.33789683,0.16666667
d1,100,150,sma_stack_bull+strong_close_bull+cross_target_relative_up,294,28,0.35714286,3,0.35714286,0.00000000
d1,150,200,sma_stack_bull+strong_close_bull+cross_target_relative_up,294,17,0.47058824,1,0.66666667,0.66666667
d1,200,300,sma_stack_bull+strong_close_bull+cross_target_relative_up,294,13,0.23076923,1,0.40000000,0.40000000
d1,50,100,volatility+strong_close_bull+cross_target_relative_up,315,38,0.44736842,3,0.44444444,0.33333333
d1,100,150,volatility+strong_close_bull+cross_target_relative_up,315,27,0.33333333,2,0.10000000,0.00000000
d1,50,100,trend_bull+close_near_high+mtf_trend_bull+cross_target_relative_up,434,65,0.35384615,6,0.35683761,0.16666667
d1,100,150,trend_bull+close_near_high+mtf_trend_bull+cross_target_relative_up,434,33,0.21212121,4,0.24285714,0.00000000
d1,150,200,trend_bull+close_near_high+mtf_trend_bull+cross_target_relative_up,434,14,0.42857143,1,0.60000000,0.60000000
d1,50,100,volatility+strong_close_bull+mtf_di_strong_bull,500,50,0.54000000,4,0.49722222,0.20000000
d1,100,150,volatility+strong_close_bull+mtf_di_strong_bull,500,36,0.33333333,2,0.30000000,0.00000000
d1,50,100,volatility+close_near_high+mtf_trend_bull+cross_target_relative_up,228,21,0.38095238,2,0.40000000,0.20000000
d1,100,150,volatility+close_near_high+mtf_trend_bull+cross_target_relative_up,228,14,0.14285714,1,0.00000000,0.00000000
d1,50,100,trend_bull+volatility+nr4,455,72,0.47222222,6,0.44444444,0.20000000
d1,100,150,trend_bull+volatility+nr4,455,50,0.62000000,4,0.67698413,0.55555556
d1,150,200,trend_bull+volatility+nr4,455,40,0.40000000,4,0.39583333,0.25000000
d1,200,300,trend_bull+volatility+nr4,455,26,0.26923077,3,0.30158730,0.00000000
d1,50,100,sma_stack_bull+nr4+strong_close_bull+mtf_trend_bull,158,20,0.45000000,1,0.83333333,0.83333333
d1,100,150,sma_stack_bull+nr4+strong_close_bull+mtf_trend_bull,158,15,0.46666667,1,0.40000000,0.40000000
d1,50,100,sma_stack_bull+close_near_high+mtf_trend_bull+cross_group_bull,305,51,0.39215686,5,0.32722833,0.00000000
