timeframe,from_target,to_target,condition,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
d1,50,100,price20_cross_down,403,0.88833747,12,0.90104858,0.81034483
d1,50,100,adx_down3+macd_accel_down,221,0.80995475,12,0.80932301,0.35294118
d1,50,100,price20_cross_down+adx_down3,71,0.94366197,5,1.00000000,1.00000000
d1,50,100,strong_close_bear+adx_down3,84,0.79761905,5,0.71960784,0.16666667
d1,50,100,mtf_trend_bull+adx_down3+di_spread_down3,32,0.96875000,3,1.00000000,1.00000000
d1,50,100,strong_close_bear,544,0.76654412,12,0.76252414,0.54000000
d1,50,100,close_near_low,733,0.73396999,12,0.74495247,0.58441558
d1,50,100,macd_accel_down,1151,0.67854040,12,0.69358435,0.47191011
d1,50,100,ema20_slope_down3,584,0.66780822,12,0.69774145,0.49090909
d1,50,100,adx_down3+structure_lh,320,0.71250000,12,0.68387137,0.17647059
d1,50,100,atr_expand,216,0.60648148,12,0.58311414,0.13333333
d1,50,100,pullback_bull,1434,0.56834031,12,0.58252136,0.36893204
d1,50,100,structure_lh,1436,0.57242340,12,0.58647423,0.35849057
d1,50,100,nr4,1341,0.53765846,12,0.55304504,0.41441441
d1,50,100,adx_down3,389,0.60668380,12,0.61165539,0.10526316
d1,50,100,range_compression+adx_down3,335,0.56716418,12,0.59829350,0.05882353
d1,50,100,range_compression,1402,0.48502140,12,0.51669630,0.29126214
d1,50,100,volatility,541,0.46765250,12,0.47403966,0.24390244
d1,50,100,mtf_adx_rising,1379,0.50543872,12,0.52544862,0.32710280
d1,50,100,price200_bull,1293,0.46481052,12,0.48302706,0.31481481
d1,50,100,mtf_macd_bull,1368,0.42470760,12,0.44950551,0.22772277
d1,50,100,mtf_trend_bull,1013,0.43928924,12,0.45980390,0.26250000
d1,50,100,false_break_up,536,0.44216418,12,0.44857296,0.21875000
d1,50,100,false_break_up+adx_down3,45,0.37777778,3,0.31822612,0.22222222
d1,50,100,bb_expand,630,0.45079365,12,0.46590739,0.22033898
d1,50,100,mtf_di_strong_bull,1072,0.35820896,12,0.36263445,0.10526316
d1,100,150,price20_cross_down+di_spread_down3,116,1.00000000,9,1.00000000,1.00000000
d1,100,150,adx_down3+di_spread_down3,58,0.94827586,5,0.94444444,0.88888889
d1,100,150,price20_cross_down,208,0.90384615,11,0.92071484,0.76923077
d1,100,150,rsi_down3,419,0.93078759,11,0.93382767,0.84090909
d1,100,150,di_spread_down3+macd_accel_down,423,0.89361702,11,0.88559676,0.68181818
d1,100,150,adx_down3+macd_accel_down,112,0.75000000,9,0.76179794,0.46153846
d1,100,150,di_spread_down3,453,0.86092715,11,0.86065924,0.72000000
d1,100,150,mtf_trend_bull+adx_down3+di_spread_down3,19,0.89473684,2,0.90000000,0.80000000
d1,100,150,price20_cross_down+adx_down3,30,0.83333333,3,0.95238095,0.85714286
d1,100,150,strong_close_bear+adx_down3,34,0.67647059,3,0.79545455,0.63636364
d1,100,150,strong_close_bear,362,0.76795580,11,0.77106886,0.60975610
d1,100,150,ema20_slope_down3,242,0.66115702,10,0.69300057,0.51351351
d1,100,150,close_near_low,457,0.74835886,11,0.74622182,0.55555556
d1,100,150,macd_accel_down,730,0.68904110,11,0.70261524,0.48936170
d1,100,150,adx_down3+structure_lh,155,0.65806452,10,0.67056939,0.37500000
d1,100,150,atr_expand,162,0.63580247,11,0.58424091,0.00000000
d1,100,150,pullback_bull,887,0.58286359,11,0.59505713,0.48571429
d1,100,150,structure_lh,886,0.57900677,11,0.59732794,0.44859813
d1,100,150,nr4,862,0.54060325,11,0.55044236,0.41463415
d1,100,150,adx_down3,184,0.55978261,10,0.60352673,0.37500000
d1,100,150,range_compression+adx_down3,154,0.48051948,9,0.50994071,0.20689655
d1,100,150,range_compression,834,0.48321343,11,0.50503164,0.37037037
d1,100,150,volatility,367,0.45231608,11,0.43905050,0.22222222
d1,100,150,mtf_adx_rising,825,0.48969697,11,0.49363056,0.37500000
d1,100,150,false_break_up+adx_down3,24,0.54166667,2,0.53174603,0.28571429
d1,100,150,price200_bull,854,0.46487119,11,0.46300509,0.30000000
d1,100,150,mtf_trend_bull,715,0.46573427,11,0.47343218,0.35869565
d1,100,150,false_break_up,375,0.50666667,11,0.50322087,0.31034483
d1,100,150,mtf_macd_bull,803,0.40099626,11,0.41124348,0.25842697
d1,100,150,bb_expand,487,0.44763860,11,0.45627074,0.21153846
d1,100,150,mtf_di_strong_bull,685,0.37080292,11,0.37879231,0.13888889
d1,150,200,price20_cross_down+di_spread_down3,50,0.92000000,3,0.91666667,0.75000000
d1,150,200,adx_down3+di_spread_down3,23,0.82608696,1,0.60000000,0.60000000
d1,150,200,price20_cross_down,87,0.82758621,6,0.84013209,0.66666667
d1,150,200,rsi_down3,238,0.87815126,11,0.89636431,0.75000000
d1,150,200,di_spread_down3+macd_accel_down,242,0.83884298,11,0.80800505,0.41666667
d1,150,200,adx_down3+macd_accel_down,41,0.63414634,4,0.60937500,0.40000000
d1,150,200,di_spread_down3,256,0.81250000,11,0.80358049,0.50000000
d1,150,200,strong_close_bear+adx_down3,17,0.52941176,1,0.20000000,0.20000000
d1,150,200,price20_cross_down+adx_down3,16,0.43750000,1,0.20000000,0.20000000
d1,150,200,strong_close_bear,203,0.73891626,10,0.71149218,0.46153846
d1,150,200,close_near_low,268,0.68656716,11,0.67579508,0.52173913
d1,150,200,ema20_slope_down3,101,0.69306931,4,0.67925021,0.44444444
d1,150,200,atr_expand,87,0.57471264,8,0.61011332,0.10000000
d1,150,200,macd_accel_down,424,0.62971698,11,0.66355964,0.34210526
d1,150,200,adx_down3+structure_lh,69,0.47826087,6,0.50595238,0.15000000
d1,150,200,pullback_bull,516,0.53488372,11,0.56701745,0.43835616
d1,150,200,structure_lh,508,0.52362205,11,0.56495837,0.40000000
d1,150,200,adx_down3,83,0.46987952,6,0.50291317,0.12000000
d1,150,200,nr4,502,0.46613546,11,0.48655277,0.35294118
d1,150,200,range_compression+adx_down3,75,0.41333333,5,0.45095238,0.08333333
d1,150,200,range_compression,482,0.43775934,11,0.48366580,0.27777778
d1,150,200,volatility,260,0.34230769,11,0.37458510,0.06250000
