timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,10,50,adx_up3+atr_expand,229,0.84279476,1.17740673,38,0.86842105,1.18309375,0.72673141,60,0.65000000,0.95161117,0.52362619
d1,10,50,price200_bull+volatility+elliott_pullback_bull+cross_group_bull,179,0.79888268,1.11606038,43,0.79069767,1.07720728,0.64794357,47,0.65957447,0.96562836,0.51670925
d1,10,50,trend_bull+rci_bull+elliott_impulse_bull+cross_group_bull,333,0.80780781,1.12852902,111,0.67567568,0.92050701,0.58398134,66,0.63636364,0.93164730,0.51579641
d1,5,50,sma_stack_bull+adx_up3+bb_expand+close_near_high,170,0.72941176,1.19785569,28,0.67857143,1.12725090,0.49338843,39,0.66666667,1.17855599,0.50977394
d1,10,50,sma_stack_bull+bb_expand+breakout20_up+cross_group_return_up,134,0.81343284,1.13638734,71,0.64788732,0.88264954,0.53182062,34,0.67647059,0.99036457,0.50842895
d1,10,50,sma_stack_bull+bb_expand+breakout_up20+cross_group_return_up,134,0.81343284,1.13638734,71,0.64788732,0.88264954,0.53182062,34,0.67647059,0.99036457,0.50842895
d1,10,50,sma_stack_bull+bb_expand+channel_breakout_up+cross_group_return_up,134,0.81343284,1.13638734,71,0.64788732,0.88264954,0.53182062,34,0.67647059,0.99036457,0.50842895
d1,10,50,trend_bull+bb_expand+elliott_impulse_bull+cross_group_return_up,213,0.79342723,1.10843897,71,0.67605634,0.92102561,0.56061157,34,0.67647059,0.99036457,0.50842895
d1,3,50,ichimoku_cloud_bull+adx_up3+volatility+mtf_volatility,340,0.67058824,1.34512834,37,0.70270270,1.45178842,0.54216864,71,0.61971831,1.40545101,0.50341856
d1,3,50,adx_up3+volatility+mtf_volatility,546,0.66666667,1.33726209,81,0.74074074,1.53037526,0.63595651,120,0.59166667,1.34183306,0.50220783
d1,10,50,sma_stack_bull+bb_expand+breakout20_up+close_near_high,170,0.79411765,1.10940350,50,0.64000000,0.87190424,0.50141017,31,0.67741935,0.99175358,0.50141009
d1,10,50,sma_stack_bull+bb_expand+breakout_up20+close_near_high,170,0.79411765,1.10940350,50,0.64000000,0.87190424,0.50141017,31,0.67741935,0.99175358,0.50141009
