pair,timestamp,event,direction,state,reason,touch_candle,reference_level,signal_candle,sma_stack_bull,di_strong_bull,strong_close_bear
eurjpy,2022-07-25T00:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-07-25T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-07-25T08:00:00+00:00,138.842,,,,
eurjpy,2022-07-26T08:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,138.842,2022-07-26T08:00:00+00:00,False,False,True
eurjpy,2022-08-30T00:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2022-08-31T08:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2022-08-31T08:00:00+00:00,138.941,,,,
eurjpy,2022-09-02T00:00:00+00:00,TRIGGERED,long,ARMED,entry conditions satisfied,,138.941,2022-09-02T00:00:00+00:00,True,True,False
eurjpy,2022-09-23T20:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-09-28T12:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-09-28T12:00:00+00:00,138.324,,,,
eurjpy,2022-09-28T16:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-09-28T20:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2022-09-30T08:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2022-10-05T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2022-10-05T12:00:00+00:00,143.291,,,,
eurjpy,2022-10-06T00:00:00+00:00,TRIGGERED,long,ARMED,entry conditions satisfied,,143.291,2022-10-06T00:00:00+00:00,True,True,False
eurjpy,2022-11-14T04:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-11-14T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-11-14T08:00:00+00:00,143.973,,,,
eurjpy,2022-11-14T12:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-11-14T16:00:00+00:00,REVERSE_CROSS_INVALIDATION,short,ARMED,reverse cross while armed,,,,,,
eurjpy,2022-11-14T20:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-11-15T00:00:00+00:00,REVERSE_CROSS_INVALIDATION,short,SEARCH_TOUCH,reverse cross before touch,,,,,,
eurjpy,2022-11-15T16:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-11-16T00:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-11-16T00:00:00+00:00,143.858,,,,
eurjpy,2022-11-16T08:00:00+00:00,REVERSE_CROSS_INVALIDATION,short,ARMED,reverse cross while armed,,,,,,
eurjpy,2022-11-25T00:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-11-25T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-11-25T08:00:00+00:00,144.424,,,,
eurjpy,2022-11-28T12:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,144.424,2022-11-28T12:00:00+00:00,False,False,True
eurjpy,2022-12-13T00:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2022-12-13T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2022-12-13T12:00:00+00:00,145.02,,,,
eurjpy,2022-12-14T12:00:00+00:00,REVERSE_CROSS_INVALIDATION,long,ARMED,reverse cross while armed,,,,,,
eurjpy,2022-12-14T20:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2022-12-16T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2022-12-16T12:00:00+00:00,145.929,,,,
eurjpy,2022-12-16T16:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-12-16T20:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2022-12-20T04:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-12-23T12:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-12-23T12:00:00+00:00,140.738,,,,
eurjpy,2022-12-26T08:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-12-26T12:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-01-25T04:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2023-01-25T08:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2023-01-25T08:00:00+00:00,142.016,,,,
eurjpy,2023-01-30T04:00:00+00:00,REVERSE_CROSS_INVALIDATION,long,ARMED,reverse cross while armed,,,,,,
eurjpy,2023-01-30T08:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2023-01-31T00:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2023-01-31T00:00:00+00:00,141.59,,,,
eurjpy,2023-01-31T04:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-02-01T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-02-02T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-02-02T16:00:00+00:00,REVERSE_CROSS_INVALIDATION,long,ARMED,reverse cross while armed,,,,,,
eurjpy,2023-02-04T08:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2023-02-07T04:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2023-02-07T04:00:00+00:00,142.106,,,,
eurjpy,2023-02-07T08:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-02-07T12:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-02-08T08:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2023-02-09T00:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2023-02-09T00:00:00+00:00,140.643,,,,
eurjpy,2023-02-09T16:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-02-10T00:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-02-10T04:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,140.643,2023-02-10T04:00:00+00:00,False,False,True
eurjpy,2023-02-14T08:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2023-02-19T20:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2023-02-19T20:00:00+00:00,143.566,,,,
eurjpy,2023-02-20T08:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-02-20T12:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-03-15T12:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2023-03-17T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2023-03-17T08:00:00+00:00,140.705,,,,
eurjpy,2023-03-21T08:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-03-21T12:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-03-30T04:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2023-04-03T00:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2023-04-03T00:00:00+00:00,144.059,,,,
eurjpy,2023-04-05T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
