timeframe,feature,origin_pairs,turn_on_n,turn_on_rate
d1,range_tight,3160,60,0.01898734
d1,range_expansion,3160,0,0.00000000
d1,inside_bar,3160,652,0.20632911
d1,inside_2,3160,34,0.01075949
d1,nr7,3160,273,0.08639241
d1,nr4,3160,677,0.21424051
d1,breakout_up20,3160,110,0.03481013
d1,retest_up,3160,110,0.03481013
d1,squeeze_release_up,3160,11,0.00348101
d1,pin_bull,3160,100,0.03164557
d1,engulf_bull,3160,59,0.01867089
d1,strong_close_bull,3160,270,0.08544304
d1,gap_proxy_up,3160,18,0.00569620
d1,hh20,3160,136,0.04303797
d1,structure_bull_transition,3160,297,0.09398734
d1,compression,3160,111,0.03512658
d1,shape_triangle_proxy,3160,34,0.01075949
