timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower,all_samples,all_hit_rate,all_lift,all_wilson95_lower
h4,bear,1,atr_expand+bb_expand,2638,0.08908264,1.78702786,511,0.06849315,1.31453129,0.04965789,470,0.07234043,2.27441549,0.05222650,3619,0.08400111,1.74978049,0.07539883
h4,bear,1,ema20_slope_down3+atr_expand,2514,0.08790772,1.76345854,494,0.08502024,1.63172184,0.06351377,412,0.08737864,2.74722374,0.06378261,3420,0.08742690,1.82114133,0.07841725
h4,bear,1,price20_bear+atr_expand,2595,0.08786127,1.76252683,493,0.08113590,1.55717297,0.06014817,429,0.08624709,2.71164715,0.06321880,3517,0.08672164,1.80645039,0.07786575
h4,bear,1,ema20_falling+atr_expand,2595,0.08786127,1.76252683,493,0.08113590,1.55717297,0.06014817,429,0.08624709,2.71164715,0.06321880,3517,0.08672164,1.80645039,0.07786575
h4,bear,1,bb_bear+atr_expand,2608,0.08780675,1.76143308,491,0.08146640,1.56351583,0.06039553,429,0.08857809,2.78493492,0.06521413,3528,0.08701814,1.81262668,0.07816075
h4,bear,1,rsi_cross45_down+atr_expand,491,0.08757637,1.75681170,84,0.07142857,1.37086835,0.03314581,76,0.13157895,4.13690124,0.07306882,651,0.09062980,1.88785916,0.07091251
h4,bear,1,di_bear+atr_expand,2674,0.08750935,1.75546715,506,0.09090909,1.74474153,0.06884792,458,0.08296943,2.60859624,0.06104351,3638,0.08741067,1.82080314,0.07866263
h4,bear,1,volatility+breakout20_down,1855,0.08733154,1.75190016,346,0.12427746,2.38515244,0.09358839,272,0.11397059,3.58328652,0.08146253,2473,0.09543065,1.98786302,0.08447030
h4,bear,1,di_spread_down3+atr_expand,2256,0.08643617,1.73393882,408,0.07352941,1.41118800,0.05198790,408,0.08333333,2.62003745,0.06024530,3072,0.08430990,1.75621273,0.07499606
h4,bear,1,adx_rising+atr_expand,3127,0.08538535,1.71285907,620,0.08709677,1.67157495,0.06736664,565,0.07256637,2.28151934,0.05393962,4312,0.08395176,1.74875266,0.07604029
h4,bear,1,price200_cross_down+atr_expand,235,0.08510638,1.70726283,61,0.09836066,1.88775313,0.04586458,43,0.13953488,4.38703946,0.06555723,339,0.09439528,1.96629579,0.06765913
h4,bear,1,rsi_cross45_down+bb_expand,494,0.08502024,1.70553484,117,0.05982906,1.14824870,0.02928047,106,0.09433962,2.96608014,0.05205250,717,0.08228731,1.71408133,0.06432944
h4,bear,1,macd_cross_down+atr_expand,354,0.08474576,1.70002867,57,0.07017544,1.34681803,0.02762642,44,0.11363636,3.57277835,0.04952781,455,0.08571429,1.78546680,0.06333455
h4,bear,1,bb_lower+rsi_cross50_down,931,0.08378088,1.68067281,267,0.05243446,1.00633032,0.03148775,180,0.08333333,2.62003745,0.05114986,1378,0.07764877,1.61745843,0.06466388
h4,bear,1,rsi40+volatility,6682,0.08350793,1.67519736,1250,0.11680000,2.24164392,0.10015752,1198,0.08430718,2.65065559,0.06987138,9130,0.08817087,1.83663845,0.08252661
h4,bear,1,macd_falling+atr_expand,2587,0.08233475,1.65166295,479,0.07098121,1.36228253,0.05123657,433,0.08775982,2.75920803,0.06460530,3499,0.08145184,1.69667823,0.07284108
h4,bear,1,macd_accel_down+atr_expand,2587,0.08233475,1.65166295,479,0.07098121,1.36228253,0.05123657,433,0.08775982,2.75920803,0.06460530,3499,0.08145184,1.69667823,0.07284108
h4,bear,1,adx25+breakout20_down,2070,0.08212560,1.64746740,395,0.10379747,1.99209729,0.07743864,355,0.07323944,2.30268080,0.05046773,2820,0.08404255,1.75064387,0.07435949
h4,bear,1,rsi_down3+atr_expand,2211,0.08141113,1.63313473,399,0.06766917,1.29871738,0.04691982,394,0.08883249,2.79293333,0.06456592,3004,0.08055925,1.67808520,0.07135407
h4,bear,1,body_bear+atr_expand,1132,0.08127208,1.63034552,190,0.07894737,1.51517028,0.04842449,192,0.09895833,3.11129448,0.06427042,1514,0.08322325,1.73357741,0.07034211
h4,bear,1,di_cross_down+atr_expand,370,0.08108108,1.62651392,58,0.08620690,1.65449628,0.03738538,40,0.10000000,3.14404494,0.03957953,468,0.08333333,1.73587050,0.06155773
h4,bear,1,price20_cross_down+atr_expand,531,0.08097928,1.62447184,80,0.03750000,0.71970588,0.01283457,69,0.13043478,4.10092819,0.07016628,680,0.08088235,1.68481549,0.06266617
h4,bear,1,momentum_bear+atr_expand,1730,0.08092486,1.62337998,334,0.08083832,1.55146178,0.05614955,272,0.07720588,2.42738764,0.05104933,2336,0.08047945,1.67642288,0.07012426
h4,bear,1,rsi_cross50_down+rsi_cross45_down,1027,0.07984421,1.60170179,242,0.04545455,0.87237077,0.02556783,177,0.10734463,3.37496350,0.06980488,1446,0.07745505,1.61342320,0.06476952
