h,lag,feature,n,wins,hit,rank_score
6,1,bb_bear,589,299.0,0.5076400679117148,3.2388058379168587
6,5,atr_expand,212,128.0,0.6037735849056604,3.2370065906170113
6,6,macd_bear,652,325.0,0.49846625766871167,3.230847495421534
6,6,adx25,563,287.0,0.5097690941385435,3.2294148671046945
6,0,bb_bear,604,304.0,0.5033112582781457,3.22382359477049
6,6,price20_bear,610,306.0,0.5016393442622951,3.2180650319778823
6,1,price20_bear,568,288.0,0.5070422535211268,3.2166154313879987
6,6,bb_bear,616,308.0,0.5,3.212434511952694
6,0,price20_bear,598,300.0,0.5016722408026756,3.2083252164458775
6,3,macd_bear,663,327.0,0.49321266968325794,3.2050350872983318
6,2,bb_bear,585,294.0,0.5025641025641026,3.203001740402806
6,2,macd_bear,645,319.0,0.4945736434108527,3.200286886366899
6,2,adx_rising,620,308.0,0.4967741935483871,3.19491931167018
6,4,price20_bear,592,296.0,0.5,3.192597199498863
6,0,adx_rising,626,310.0,0.4952076677316294,3.1896061143709353
6,4,macd_bear,668,327.0,0.48952095808383234,3.1847176462004954
6,6,adx_rising,630,311.0,0.4936507936507937,3.1827176559528847
6,4,bb_expand,315,174.0,0.5523809523809524,3.1793623656003898
6,3,di_strong_bear,508,259.0,0.5098425196850394,3.177567000564144
6,1,adx_rising,646,316.0,0.4891640866873065,3.1660393638735056
6,2,di_strong_bear,501,253.0,0.5049900199600799,3.1403309985668812
6,4,adx_up3,251,142.0,0.5657370517928287,3.128202910066224
6,1,macd_bear,629,304.0,0.48330683624801274,3.115260453248356
6,0,macd_bear,639,308.0,0.48200312989045385,3.1144478846900547
6,0,atr_expand,160,98.0,0.6125,3.1123601735529838
6,3,bb_expand,325,174.0,0.5353846153846153,3.0982158287932524
6,5,price200_bear,503,250.0,0.4970178926441352,3.092731743574239
6,4,atr_expand,216,124.0,0.5740740740740741,3.088459591847301
6,4,price200_bear,504,250.0,0.49603174603174605,3.0875785859500797
6,4,di_strong_bear,502,249.0,0.4960159362549801,3.0855118572805478
6,3,adx_up3,243,136.0,0.5596707818930041,3.0766044388472245
6,3,price200_bear,500,247.0,0.494,3.071003413935923
6,6,price200_bear,511,251.0,0.4911937377690802,3.0642259899900517
6,0,price200_bear,514,252.0,0.490272373540856,3.0613425271736605
6,1,price200_bear,510,250.0,0.49019607843137253,3.0570439167665215
6,2,bb_expand,319,169.0,0.5297805642633229,3.055944352003597
6,1,bb_expand,318,168.0,0.5283018867924528,3.045761337320295
6,2,price200_bear,493,242.0,0.4908722109533469,3.0446523228386964
6,5,di_strong_bear,491,241.0,0.4908350305498982,3.0424304901723955
6,6,di_strong_bear,494,242.0,0.4898785425101215,3.0394797136470104
6,5,bb_expand,311,164.0,0.5273311897106109,3.0284647035394054
6,1,di_strong_bear,504,245.0,0.4861111111111111,3.0258270142310777
6,4,rsi_down1,250,136.0,0.544,3.0058463988876905
6,2,adx_up3,241,131.0,0.5435684647302904,2.9836134528071616
6,6,bb_expand,313,161.0,0.5143769968051118,2.957355497543862
6,0,adx_up3,244,131.0,0.5368852459016393,2.9535443671367183
6,0,trend_bear,351,175.0,0.4985754985754986,2.923462836836658
6,1,trend_bear,352,175.0,0.4971590909090909,2.9165679260321786
6,1,atr_expand,178,100.0,0.5617977528089888,2.9142616886745816
6,5,rsi_down1,242,128.0,0.5289256198347108,2.9054209287090504
6,2,trend_bear,348,171.0,0.49137931034482757,2.8770612031511926
6,6,rsi_down1,319,158.0,0.4952978056426332,2.857036731458984
6,5,adx_up3,251,129.0,0.5139442231075697,2.8418181366094566
6,0,bb_expand,302,150.0,0.4966887417218543,2.8379467577033286
6,0,di_strong_bear,419,196.0,0.4677804295942721,2.8255129437001747
6,3,trend_bear,351,169.0,0.48148148148148145,2.823229825287972
6,1,adx_up3,245,125.0,0.5102040816326531,2.8088426203736545
6,3,rsi_down1,266,133.0,0.5,2.793624329200125
6,4,trend_bear,346,165.0,0.476878612716763,2.789417886390843
