timeframe,period,from_target,to_target,condition,samples,exit_pips_mean,hold_pips_mean,opportunity_cost_pips_mean,exit_positive_rate,hold_minus_exit_mean,bars_after_target_mean,post_exit_mae_mean,post_exit_mfe_mean
d1,validation,100,150,price20_cross_down,453,-114.78101545,-67.38807947,47.39293598,0.03311258,47.39293598,2.96688742,-58.75938190,61.00132450
d1,oos,100,150,price20_cross_down,257,-107.22217899,-76.66070039,30.56147860,0.05836576,30.56147860,2.93385214,-73.35758755,46.29377432
d1,discovery,100,150,adx_down3+di_spread_down3,470,-123.75404255,-86.43191489,37.32212766,0.08085106,37.32212766,3.88297872,-39.31042553,43.34255319
d1,validation,100,150,adx_down3+di_spread_down3,117,-114.46581197,-61.47179487,52.99401709,0.02564103,52.99401709,3.73504274,-44.03760684,43.99401709
d1,oos,100,150,adx_down3+di_spread_down3,72,-92.20833333,-52.72638889,39.48194444,0.08333333,39.48194444,3.68055556,-24.24305556,41.84722222
d1,discovery,100,150,adx_down3,1314,-31.77732116,-29.94497717,1.83234399,0.37747336,1.83234399,2.10654490,-73.43713851,70.16164384
d1,validation,100,150,adx_down3,259,-42.05714286,-24.22277992,17.83436293,0.34749035,17.83436293,2.27413127,-76.96023166,62.13629344
d1,oos,100,150,adx_down3,212,-15.10424528,-7.14952830,7.95471698,0.43396226,7.95471698,2.29716981,-50.43113208,55.48018868
d1,discovery,150,200,price20_cross_down+di_spread_down3,455,-166.39340659,-113.03626374,53.35714286,0.01098901,53.35714286,3.66373626,-35.82483516,40.86659341
d1,validation,150,200,price20_cross_down+di_spread_down3,142,-172.83098592,-93.13028169,79.70070423,0.00000000,79.70070423,3.47183099,-43.00985915,72.54154930
d1,oos,150,200,price20_cross_down+di_spread_down3,68,-166.88382353,-78.08676471,88.79705882,0.01470588,88.79705882,3.48529412,-101.57647059,44.79705882
d1,discovery,150,200,price20_cross_down,848,-138.63195755,-91.33219340,47.29976415,0.03066038,47.29976415,2.84551887,-59.80377358,60.49551887
d1,validation,150,200,price20_cross_down,237,-147.50506329,-84.92742616,62.57763713,0.02109705,62.57763713,2.91561181,-68.33797468,82.00801688
d1,oos,150,200,price20_cross_down,111,-128.07297297,-66.94954955,61.12342342,0.02702703,61.12342342,3.08108108,-83.77207207,58.56486486
d1,discovery,150,200,adx_down3+di_spread_down3,306,-150.92647059,-116.58039216,34.34607843,0.06209150,34.34607843,3.87908497,-53.86503268,40.12320261
