timeframe,period,from_target,to_target,condition,samples,exit_precision,baseline_exit_precision,lift,wilson95_lower,exit_price_from_target_pips_mean,future_mfe_from_exit_pips_mean,future_mae_from_exit_pips_mean,bars_after_target_mean
d1,oos,100,150,volatility,367,0.45231608,0.58249497,0.77651499,0.40215056,-31.56403270,80.78801090,-92.32997275,1.20435967
d1,discovery,100,150,mtf_adx_rising,4812,0.44846218,0.55034571,0.81487358,0.43445691,-7.55392768,72.55849958,-76.07325436,1.73524522
d1,validation,100,150,mtf_adx_rising,1225,0.45306122,0.57762938,0.78434588,0.42537534,-11.28995918,70.17951020,-79.93224490,1.76571429
d1,oos,100,150,mtf_adx_rising,825,0.48969697,0.58249497,0.84068875,0.45571248,-17.84678788,64.44266667,-75.28024242,1.83515152
d1,discovery,100,150,false_break_up+adx_down3,130,0.43846154,0.55034571,0.79670202,0.35614558,18.96461538,57.45230769,-56.04461538,2.07692308
d1,validation,100,150,false_break_up+adx_down3,40,0.30000000,0.57762938,0.51936416,0.18074845,5.04000000,58.75250000,-96.20500000,2.05000000
d1,oos,100,150,false_break_up+adx_down3,24,0.54166667,0.58249497,0.92990789,0.35074865,9.12083333,37.46250000,-111.49166667,2.79166667
d1,discovery,100,150,price200_bull,4049,0.42356137,0.55034571,0.76962783,0.40842107,-5.55522351,85.35635959,-79.97764880,1.10570511
d1,validation,100,150,price200_bull,973,0.45529291,0.57762938,0.78820940,0.42423887,-4.22692703,75.15590956,-84.25971223,1.08016444
d1,oos,100,150,price200_bull,854,0.46487119,0.58249497,0.79806903,0.43165169,-12.14121780,69.66405152,-84.53454333,1.10070258
d1,discovery,100,150,mtf_trend_bull,3842,0.41462780,0.55034571,0.75339517,0.39914252,2.43805310,80.17782405,-72.05104112,1.25950026
d1,validation,100,150,mtf_trend_bull,1053,0.46058879,0.57762938,0.79737771,0.43068064,0.00721747,71.55080722,-78.87160494,1.15669516
d1,oos,100,150,mtf_trend_bull,715,0.46573427,0.58249497,0.79955071,0.42945166,3.21412587,62.66279720,-73.91622378,1.23916084
d1,discovery,100,150,false_break_up,2184,0.37545788,0.55034571,0.68222186,0.35538446,21.36991758,65.55993590,-60.69958791,2.13141026
d1,validation,100,150,false_break_up,526,0.43916350,0.57762938,0.76028594,0.39734452,9.44106464,58.89049430,-67.88041825,2.04372624
d1,oos,100,150,false_break_up,375,0.50666667,0.58249497,0.86982153,0.45625467,2.26826667,46.36106667,-70.65333333,2.00000000
d1,discovery,100,150,mtf_macd_bull,4464,0.37253584,0.55034571,0.67691241,0.35846823,7.99215950,78.40338262,-74.15264337,1.52083333
d1,validation,100,150,mtf_macd_bull,1112,0.37769784,0.57762938,0.65387574,0.34966987,8.02473022,73.22805755,-82.05422662,1.49280576
d1,oos,100,150,mtf_macd_bull,803,0.40099626,0.58249497,0.68841155,0.36764705,-0.11905355,69.89290162,-71.32291407,1.42714819
d1,discovery,100,150,bb_expand,2560,0.35000000,0.55034571,0.63596389,0.33176077,12.16671875,74.89304688,-68.09535156,1.56406250
d1,validation,100,150,bb_expand,669,0.35724963,0.57762938,0.61847551,0.32184794,8.36965620,68.07100149,-76.20508221,1.52316891
d1,oos,100,150,bb_expand,487,0.44763860,0.58249497,0.76848493,0.40405660,-9.11067762,58.98726899,-76.25585216,1.66735113
d1,discovery,100,150,mtf_di_strong_bull,4267,0.34544176,0.55034571,0.62768139,0.33131901,19.37534568,77.01443637,-73.29575814,1.35575346
d1,validation,100,150,mtf_di_strong_bull,1089,0.35078053,0.57762938,0.60727612,0.32300693,17.46097337,71.69963269,-81.08135904,1.34159780
d1,oos,100,150,mtf_di_strong_bull,685,0.37080292,0.58249497,0.63657703,0.33544562,19.66000000,63.24335766,-70.23372263,1.43649635
