timeframe,period,from_target,to_target,conditions,samples_after_from,continuation_rate,unconditional_to_rate,continuation_lift,wilson95_lower
h4,validation,50,100,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,17,0.52941176,7347.28747795,0.00007206,0.30963235
h4,validation,100,150,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,10,0.50000000,7312.54635108,0.00006838,0.23659309
h4,validation,150,200,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,7,0.42857143,7287.60933333,0.00005881,0.15821986
h4,validation,200,300,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,5,0.20000000,7258.32947977,0.00002755,0.03622411
h4,oos,50,100,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,9,0.22222222,8766.86496956,0.00002535,0.06322511
h4,oos,100,150,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,67,0.44776119,3459.27368120,0.00012944,0.33476393
h4,discovery,100,150,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,37,0.37837838,3623.64245524,0.00010442,0.24063999
h4,discovery,150,200,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,18,0.44444444,3751.26678899,0.00011848,0.24559518
h4,discovery,200,300,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,9,0.11111111,3934.45852895,0.00002824,0.01989089
h4,validation,50,100,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,21,0.42857143,7347.28747795,0.00005833,0.24469969
h4,validation,100,150,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,10,0.10000000,7312.54635108,0.00001368,0.01787621
h4,validation,150,200,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,4,0.50000000,7287.60933333,0.00006861,0.15003899
h4,validation,200,300,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,3,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,10,0.20000000,8766.86496956,0.00002281,0.05668215
h4,oos,100,150,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+horizontal_break_up+cross_group_return_up,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,67,0.44776119,3459.27368120,0.00012944,0.33476393
h4,discovery,100,150,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,38,0.39473684,3623.64245524,0.00010893,0.25598076
h4,discovery,150,200,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,19,0.36842105,3751.26678899,0.00009821,0.19149513
h4,discovery,200,300,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,9,0.11111111,3934.45852895,0.00002824,0.01989089
h4,validation,50,100,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,12,0.41666667,7347.28747795,0.00005671,0.19326031
h4,validation,100,150,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,6,0.00000000,7312.54635108,0.00000000,0.00000000
