horizon_bars,condition,disc_n,disc_hit,disc_lift,val_n,val_hit,val_lift,oos_n,oos_hit,oos_lift,oos_pairs_ge5,oos_pairs_above_base,oos_pair_mean,oos_pair_min
1,pin+near_recent_high_atr10<=1.5+di_strong_bear,40,0.15000000,2.76860627,24,0.25000000,4.26678291,18,0.16666667,3.85426997,2,2,0.24285714,0.20000000
1,pin+early_drop_atr3<=0.5+macd_bear,107,0.21495327,3.96747316,29,0.10344828,1.76556534,12,0.16666667,3.85426997,1,1,0.20000000,0.20000000
1,pin+macd_bear,465,0.17419355,3.21515567,113,0.18584071,3.17176783,61,0.16393443,3.79108522,4,3,0.18946158,0.04761905
1,pin+early_drop_atr3<=1.0+macd_bear,216,0.16666667,3.07622919,55,0.18181818,3.10311485,30,0.13333333,3.08341598,4,4,0.14196429,0.10000000
1,pin+early_drop_atr10<=1.0+macd_bear,53,0.13207547,2.43776653,16,0.00000000,0.00000000,8,0.12500000,2.89070248,0,0,,
1,pin+near_recent_high_atr10<=1.0+macd_bear,53,0.13207547,2.43776653,16,0.00000000,0.00000000,8,0.12500000,2.89070248,0,0,,
1,pin+range_tight,42,0.14285714,2.63676788,29,0.13793103,2.35408712,11,0.09090909,2.10232908,1,1,0.16666667,0.16666667
1,pin+early_drop_atr3<=1.0+elliott_pullback_bear,84,0.17857143,3.29595985,22,0.36363636,6.20622969,13,0.07692308,1.77889383,1,0,0.00000000,0.00000000
1,pin+near_recent_high_atr10<=1.5+macd_bear,119,0.14285714,2.63676788,31,0.06451613,1.10110527,17,0.05882353,1.36033058,1,0,0.00000000,0.00000000
1,pin+near_recent_high_atr10<=1.5+range_tight,30,0.13333333,2.46098335,17,0.05882353,1.00394892,6,0.00000000,0.00000000,0,0,,
1,pin+early_drop_atr3<=0.5+elliott_pullback_bear,31,0.22580645,4.16779439,6,0.33333333,5.68904388,5,0.00000000,0.00000000,0,0,,
1,pin+early_drop_atr3<=1.0+range_tight,24,0.16666667,3.07622919,15,0.06666667,1.13780878,5,0.00000000,0.00000000,0,0,,
1,pin+early_drop_atr10<=1.0+range_tight,19,0.21052632,3.88576319,12,0.00000000,0.00000000,3,0.00000000,0.00000000,0,0,,
1,pin+near_recent_high_atr10<=1.0+range_tight,19,0.21052632,3.88576319,12,0.00000000,0.00000000,3,0.00000000,0.00000000,0,0,,
1,pin+early_drop_atr3<=0.5+range_tight,12,0.33333333,6.15245838,11,0.00000000,0.00000000,2,0.00000000,0.00000000,0,0,,
1,pin+breakout_down20,17,0.23529412,4.34291180,2,0.50000000,8.53356582,1,0.00000000,0.00000000,0,0,,
1,pin+retest_down,17,0.23529412,4.34291180,2,0.50000000,8.53356582,1,0.00000000,0.00000000,0,0,,
1,pin+early_drop_atr3<=0.5+breakout_down20,0,,,0,,,0,,,0,0,,
1,pin+early_drop_atr3<=0.5+retest_down,0,,,0,,,0,,,0,0,,
1,pin+early_drop_atr3<=1.0+breakout_down20,0,,,0,,,0,,,0,0,,
1,pin+early_drop_atr3<=1.0+retest_down,0,,,0,,,0,,,0,0,,
1,pin+early_drop_atr10<=1.0+breakout_down20,0,,,0,,,0,,,0,0,,
1,pin+early_drop_atr10<=1.0+retest_down,0,,,0,,,0,,,0,0,,
1,pin+near_recent_high_atr10<=1.0+breakout_down20,0,,,0,,,0,,,0,0,,
1,pin+near_recent_high_atr10<=1.0+retest_down,0,,,0,,,0,,,0,0,,
