timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_continuation_rate,oos_pairs_n_ge5,oos_pair_rate_mean,oos_pair_rate_min
h4,150,200,atr_expand+strong_close_bull+mtf_trend_bull+cross_group_bull,137,27,0.66666667,3,0.68518519,0.22222222
h4,150,200,atr_expand+breakout20_up+close_near_high+mtf_volatility,192,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,adx25+atr_expand+breakout20_up+strong_close_bull,404,20,0.50000000,2,0.33333333,0.00000000
h4,150,200,adx25+atr_expand+close_near_high,505,24,0.41666667,2,0.33333333,0.00000000
h4,150,200,di_strong_bull+atr_expand+strong_close_bull+mtf_trend_bull,280,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,adx25+atr_expand+structure_bull_transition+strong_close_bull,352,18,0.55555556,2,0.42857143,0.00000000
h4,150,200,adx25+atr_expand+breakout20_up+close_near_high,455,24,0.41666667,2,0.33333333,0.00000000
h4,150,200,atr_expand+structure_bull_transition+close_near_high+mtf_volatility,187,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,price200_bull+atr_expand+strong_close_bull+mtf_trend_bull,293,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,ema200_rising+atr_expand+strong_close_bull+mtf_trend_bull,293,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,adx25+atr_expand+horizontal_break_up+strong_close_bull,249,13,0.76923077,1,0.66666667,0.66666667
h4,150,200,atr_expand+strong_close_bull+mtf_trend_bull,295,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,atr_expand+close_near_high+mtf_trend_bull+cross_group_return_up,216,29,0.65517241,3,0.66931217,0.22222222
h4,150,200,macd_accel_up+atr_expand+strong_close_bull+mtf_trend_bull,294,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,adx25+atr_expand+structure_bull_transition+close_near_high,408,18,0.55555556,2,0.42857143,0.00000000
h4,150,200,atr_expand+close_near_high+mtf_volatility+cross_group_return_up,154,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,price200_bull+adx25+atr_expand+strong_close_bull,334,13,0.23076923,1,0.00000000,0.00000000
h4,150,200,ema200_rising+adx25+atr_expand+strong_close_bull,334,13,0.23076923,1,0.00000000,0.00000000
h4,150,200,adx25+atr_expand+impulse_bull+mtf_volatility,236,30,0.26666667,3,0.41666667,0.00000000
h4,150,200,atr_expand+horizontal_break_up+strong_close_bull+mtf_trend_bull,236,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,atr_expand+breakout20_up+strong_close_bull+mtf_trend_bull,265,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,sma_stack_bull+atr_expand+close_near_high+mtf_trend_bull,237,20,0.90000000,2,0.96153846,0.92307692
h4,150,200,di_strong_bull+atr_expand+close_near_high+mtf_trend_bull,329,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,adx25+atr_expand+impulse_bull+mtf_adx25,322,39,0.25641026,4,0.36805556,0.00000000
h4,150,200,adx25+atr_expand+horizontal_break_up+close_near_high,282,17,0.58823529,1,0.66666667,0.66666667
h4,150,200,atr_expand+structure_bull_transition+strong_close_bull+mtf_trend_bull,241,28,0.67857143,3,0.71296296,0.22222222
h4,150,200,price200_bull+adx25+atr_expand+close_near_high,386,17,0.17647059,1,0.00000000,0.00000000
h4,150,200,ema200_rising+adx25+atr_expand+close_near_high,386,17,0.17647059,1,0.00000000,0.00000000
h4,150,200,adx25+atr_expand+strong_close_bull+cross_group_return_up,258,20,0.50000000,2,0.33333333,0.00000000
h4,150,200,price200_bull+atr_expand+close_near_high+mtf_trend_bull,344,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,ema200_rising+atr_expand+close_near_high+mtf_trend_bull,344,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,atr_expand+close_near_high+mtf_trend_bull,346,31,0.64516129,3,0.67407407,0.22222222
h4,150,200,macd_accel_up+atr_expand+close_near_high+mtf_trend_bull,345,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,sma_stack_bull+atr_expand+horizontal_break_up+strong_close_bull,258,19,0.89473684,2,0.95833333,0.91666667
h4,150,200,atr_expand+breakout20_up+close_near_high+mtf_trend_bull,310,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,atr_expand+horizontal_break_up+close_near_high+mtf_trend_bull,280,30,0.63333333,3,0.66931217,0.22222222
h4,150,200,adx25+volatility+strong_close_bull+mtf_adx25,466,17,0.11764706,1,0.00000000,0.00000000
h4,150,200,adx25+atr_expand+impulse_bull,656,54,0.20370370,4,0.28472222,0.00000000
h4,150,200,atr_expand+strong_close_bull+mtf_volatility+cross_group_bull,105,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,adx25+atr_expand+structure_bull_transition+mtf_volatility,225,38,0.28947368,3,0.43333333,0.00000000
h4,150,200,sma_stack_bull+atr_expand+breakout20_up+mtf_volatility,156,21,0.09523810,2,0.09090909,0.00000000
h4,150,200,sma_stack_bull+atr_expand+horizontal_break_up+mtf_volatility,156,21,0.09523810,2,0.09090909,0.00000000
h4,150,200,atr_expand+horizontal_break_up+mtf_volatility+cross_group_return_up,144,65,0.41538462,4,0.46195652,0.00000000
h4,150,200,di_strong_bull+atr_expand+strong_close_bull,722,70,0.62857143,4,0.50299426,0.00000000
h4,150,200,di_strong_bull+atr_expand+breakout20_up+strong_close_bull,693,70,0.62857143,4,0.50299426,0.00000000
h4,150,200,atr_expand+strong_close_bull,768,70,0.62857143,4,0.50299426,0.00000000
h4,150,200,adx25+atr_expand+impulse_bull+mtf_trend_bull,322,26,0.15384615,2,0.12500000,0.00000000
