timeframe,target_pips,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,50,10,volatility+nr4+mtf_di_bull+cross_target_relative_up,162,0.87037037,1.21593059,71,0.83098592,1.13209398,0.72740872,22,0.86363636,1.26437848,0.66665013
d1,50,10,macd_bull+volatility+elliott_pullback_bull+mtf_di_strong_bull,126,0.82539683,1.15310135,13,0.76923077,1.04796183,0.49743624,22,0.86363636,1.26437848,0.66665013
d1,50,10,price200_bull+rci_bull+volatility+nr7,130,0.83076923,1.16060674,27,0.85185185,1.16052069,0.67521315,26,0.84615385,1.23878377,0.66468801
d1,50,10,ema200_rising+rci_bull+volatility+nr7,130,0.83076923,1.16060674,27,0.85185185,1.16052069,0.67521315,26,0.84615385,1.23878377,0.66468801
d1,50,5,price200_bull+volatility+nr4+cross_target_relative_up,152,0.74342105,1.22086204,48,0.66666667,1.10747457,0.52540110,30,0.83333333,1.47319498,0.66435649
d1,50,10,adx_up3+volatility+pullback_bull,304,0.82894737,1.15806155,53,0.86792453,1.18241731,0.75159745,56,0.78571429,1.15029922,0.66180536
d1,50,5,sma_stack_bull+adx25+bb_expand+mtf_volatility,253,0.74703557,1.22679789,59,0.61016949,1.01362079,0.48266342,70,0.77142857,1.36375764,0.66049668
d1,50,10,pin_bull+cross_group_bull,185,0.82702703,1.15537878,46,0.93478261,1.27350144,0.82497259,37,0.81081081,1.18704096,0.65795303
d1,50,10,macd_bull+volatility+pullback_bull+mtf_di_strong_bull,217,0.83410138,1.16526185,42,0.78571429,1.07041816,0.64060155,29,0.82758621,1.21160043,0.65451560
d1,50,10,price200_bull+rci_bull+volatility+nr4,345,0.82608696,1.15406548,65,0.87692308,1.19467649,0.77548506,70,0.75714286,1.10847015,0.64504961
d1,50,10,ema200_rising+rci_bull+volatility+nr4,345,0.82608696,1.15406548,65,0.87692308,1.19467649,0.77548506,70,0.75714286,1.10847015,0.64504961
d1,50,3,price200_bull+volatility+nr7,212,0.62735849,1.25841409,35,0.65714286,1.35766148,0.49151950,53,0.77358491,1.75440304,0.64473730
d1,50,5,volatility+nr4+mtf_di_strong_bull,309,0.75080906,1.23299479,72,0.70833333,1.17669173,0.59494257,39,0.79487179,1.40520137,0.64466032
d1,50,10,price200_bull+pin_bull+cross_group_bull,159,0.83018868,1.15979570,29,0.89655172,1.22141758,0.73614919,35,0.80000000,1.17121375,0.64108387
d1,50,10,ema200_rising+pin_bull+cross_group_bull,159,0.83018868,1.15979570,29,0.89655172,1.22141758,0.73614919,35,0.80000000,1.17121375,0.64108387
d1,50,5,adx_up3+volatility+mtf_volatility,546,0.75091575,1.23317000,81,0.83950617,1.39459761,0.74452951,120,0.72500000,1.28167964,0.63907034
d1,50,5,price200_bull+volatility+nr4+cross_group_bull,135,0.74814815,1.22862498,55,0.67272727,1.11754252,0.54103224,31,0.80645161,1.42567257,0.63719742
d1,50,5,price200_bull+pin_bull,327,0.76758410,1.26054311,65,0.75384615,1.25229817,0.63694217,81,0.74074074,1.30950665,0.63595651
d1,50,5,pin_bull+mtf_volatility,161,0.80745342,1.32601737,43,0.74418605,1.23625068,0.59761597,27,0.81481481,1.44045732,0.63301316
d1,50,10,price200_bull+adx_up3+volatility+pullback_bull,183,0.83060109,1.16037185,28,0.89285714,1.21638427,0.72804148,34,0.79411765,1.16260188,0.63201612
d1,50,10,ema200_rising+adx_up3+volatility+pullback_bull,183,0.83060109,1.16037185,28,0.89285714,1.21638427,0.72804148,34,0.79411765,1.16260188,0.63201612
d1,50,5,sma_stack_bull+volatility+nr4+mtf_di_bull,176,0.77840909,1.27832015,35,0.65714286,1.09165350,0.49151950,23,0.82608696,1.46038459,0.62862352
d1,50,5,volatility+nr4+elliott_pullback_bull+mtf_di_bull,122,0.73770492,1.21147488,20,0.75000000,1.24590889,0.53129912,23,0.82608696,1.46038459,0.62862352
d1,50,10,sma_stack_bull+volatility+nr4+mtf_di_bull,176,0.85795455,1.19858535,35,0.80000000,1.08988030,0.64108387,23,0.82608696,1.20940550,0.62862352
d1,50,10,sma_stack_bull+macd_bull+volatility+pullback_bull,248,0.83064516,1.16043341,41,0.90243902,1.22943815,0.77452319,47,0.76595745,1.12137487,0.62775742
d1,50,10,pin_bull+cross_target_relative_up,179,0.84916201,1.18630195,60,0.86666667,1.18070366,0.75834840,30,0.80000000,1.17121375,0.62694304
d1,50,5,adx25+volatility+nr4+mtf_di_strong_bull,174,0.74712644,1.22694710,25,0.84000000,1.39541796,0.65346378,19,0.84210526,1.48870230,0.62434525
d1,50,5,sma_stack_bull+rci_bull+nr4+mtf_volatility,191,0.74345550,1.22091861,53,0.60377358,1.00299584,0.46941479,33,0.78787879,1.39283889,0.62248355
d1,50,10,volatility+pullback_bull+mtf_di_strong_bull,258,0.81395349,1.13711470,47,0.80851064,1.10147478,0.67455995,33,0.78787879,1.15346809,0.62248355
d1,50,5,trend_bull+nr7+mtf_volatility,128,0.75000000,1.23166613,24,0.54166667,0.89982309,0.35074865,26,0.80769231,1.42786591,0.62123743
d1,50,5,adx25+pin_bull,204,0.74019608,1.21556592,25,0.76000000,1.26252101,0.56570317,36,0.77777778,1.37498199,0.61915297
d1,50,10,rci_bull+pin_bull,237,0.84388186,1.17892543,68,0.91176471,1.24214299,0.82056231,52,0.75000000,1.09801289,0.61793542
d1,50,10,price200_bull+rci_bull+pin_bull,202,0.84158416,1.17571548,51,0.88235294,1.20207387,0.76619156,52,0.75000000,1.09801289,0.61793542
d1,50,10,ema200_rising+rci_bull+pin_bull,202,0.84158416,1.17571548,51,0.88235294,1.20207387,0.76619156,52,0.75000000,1.09801289,0.61793542
d1,50,5,trend_bull+bb_expand+close_near_high+mtf_volatility,179,0.73743017,1.21102368,50,0.70000000,1.16284830,0.56249650,39,0.76923077,1.35987229,0.61663743
d1,50,5,volatility+nr4+mtf_di_bull+cross_target_relative_up,162,0.79629630,1.30769490,71,0.71830986,1.19326485,0.60457983,22,0.81818182,1.44640962,0.61483393
d1,50,10,sma_stack_bull+rci_bull+volatility+nr4,212,0.83962264,1.17297519,44,0.86363636,1.17657533,0.73290547,42,0.76190476,1.11544167,0.61472456
d1,50,10,pin_bull+cross_group_return_up,211,0.81990521,1.14542942,48,0.91666667,1.24882118,0.80446698,42,0.76190476,1.11544167,0.61472456
d1,50,5,sma_stack_bull+adx_up3+volatility+mtf_volatility,200,0.79500000,1.30556610,23,0.82608696,1.37230544,0.62862352,57,0.73684211,1.30261451,0.61023421
d1,50,5,adx25+nr7+mtf_volatility,139,0.74820144,1.22871249,18,0.55555556,0.92289547,0.33716416,25,0.80000000,1.41426719,0.60869050
d1,50,3,sma_stack_bull+volatility+nr7,145,0.63448276,1.27270461,26,0.65384615,1.35085047,0.46220571,41,0.75609756,1.71474372,0.60656664
d1,50,10,price200_bull+pin_bull+cross_target_relative_up,143,0.86713287,1.21140771,40,0.82500000,1.12393906,0.68050010,28,0.78571429,1.15029922,0.60461414
d1,50,10,ema200_rising+pin_bull+cross_target_relative_up,143,0.86713287,1.21140771,40,0.82500000,1.12393906,0.68050010,28,0.78571429,1.15029922,0.60461414
d1,50,5,price200_bull+volatility+nr4+elliott_pullback_bull,127,0.75590551,1.24136429,14,0.78571429,1.30523788,0.52410769,31,0.77419355,1.36864566,0.60187582
d1,50,5,pin_bull+cross_group_bull,185,0.77297297,1.26939284,46,0.69565217,1.15562564,0.55194354,37,0.75675676,1.33782031,0.59882708
d1,50,5,trend_bull+pin_bull,246,0.77235772,1.26838247,55,0.72727273,1.20815408,0.59767802,64,0.71875000,1.27063067,0.59866070
d1,50,10,price200_bull+pin_bull+cross_group_return_up,179,0.82681564,1.15508347,29,0.89655172,1.22141758,0.73614919,40,0.75000000,1.09801289,0.59806039
d1,50,10,ema200_rising+pin_bull+cross_group_return_up,179,0.82681564,1.15508347,29,0.89655172,1.22141758,0.73614919,40,0.75000000,1.09801289,0.59806039
d1,50,5,nr4+elliott_pullback_bull+mtf_volatility,171,0.78947368,1.29649066,33,0.63636364,1.05713482,0.46616178,24,0.79166667,1.39953524,0.59529547
d1,50,5,sma_stack_bull+pin_bull,195,0.78461538,1.28851226,51,0.72549020,1.20519291,0.59053349,63,0.71428571,1.26273856,0.59297283
d1,50,5,rci_bull+volatility+nr4+cross_target_relative_up,158,0.79113924,1.29922588,65,0.72307692,1.20118396,0.60419362,27,0.77777778,1.37498199,0.59243071
d1,50,5,trend_bull+volatility+nr4+mtf_di_bull,219,0.76255708,1.25228763,39,0.66666667,1.10747457,0.50977394,27,0.77777778,1.37498199,0.59243071
d1,50,5,price200_bull+rci_bull+volatility+nr4,345,0.75942029,1.24713633,65,0.76923077,1.27785527,0.65355291,70,0.70000000,1.23748379,0.58455683
d1,50,10,macd_bull+pin_bull,218,0.85321101,1.19195850,50,0.88000000,1.19886834,0.76195183,44,0.72727273,1.06473977,0.58151127
d1,50,5,price200_bull+volatility+nr4+mtf_di_strong_bull,206,0.77184466,1.26753990,40,0.75000000,1.24590889,0.59806039,26,0.76923077,1.35987229,0.57948446
d1,50,10,price200_bull+volatility+nr4+mtf_di_strong_bull,206,0.83495146,1.16644942,40,0.80000000,1.08988030,0.65242694,26,0.76923077,1.12616707,0.57948446
d1,50,10,ema200_rising+volatility+nr4+mtf_di_strong_bull,206,0.83495146,1.16644942,40,0.80000000,1.08988030,0.65242694,26,0.76923077,1.12616707,0.57948446
d1,50,5,price200_bull+pin_bull+cross_group_bull,159,0.77358491,1.27039777,29,0.62068966,1.03109701,0.44002544,35,0.74285714,1.31324810,0.57930693
d1,50,10,price200_bull+macd_bull+pin_bull,171,0.84795322,1.18461323,31,0.83870968,1.14261645,0.67365646,43,0.72093023,1.05545425,0.57308971
d1,50,10,ema200_rising+macd_bull+pin_bull,171,0.84795322,1.18461323,31,0.83870968,1.14261645,0.67365646,43,0.72093023,1.05545425,0.57308971
d1,50,5,trend_bull+nr4+close_near_high+mtf_volatility,120,0.77500000,1.27272167,38,0.76315789,1.26776694,0.60793188,25,0.76000000,1.34355383,0.56570317
d1,50,5,pin_bull+cross_group_return_up,211,0.77251185,1.26863557,48,0.68750000,1.14208315,0.54666929,42,0.71428571,1.26273856,0.56432791
d1,50,5,sma_stack_bull+bb_expand+close_near_high+mtf_volatility,150,0.74666667,1.22619206,44,0.68181818,1.13264445,0.53443104,39,0.71794872,1.26921414,0.56224681
d1,50,5,trend_bull+adx_up3+volatility+mtf_volatility,206,0.76699029,1.25956795,26,0.84615385,1.40564080,0.66468801,47,0.70212766,1.24124514,0.56022326
d1,50,10,sma_stack_bull+macd_bull+elliott_impulse_bull+cross_group_bull,201,0.82089552,1.14681291,95,0.69473684,0.94647500,0.59606604,47,0.70212766,1.02792696,0.56022326
d1,50,3,adx25+pin_bull,204,0.66176471,1.32742928,25,0.68000000,1.40488449,0.48410269,36,0.72222222,1.63791828,0.56007510
d1,50,5,volatility+pin_bull,166,0.79518072,1.30586289,34,0.85294118,1.41691599,0.69871944,36,0.72222222,1.27676899,0.56007510
d1,50,10,volatility+pin_bull,166,0.83734940,1.16979941,34,0.94117647,1.28221212,0.80906393,36,0.72222222,1.05734575,0.56007510
d1,50,5,trend_bull+rci_bull+volatility+nr4,265,0.76226415,1.25180658,49,0.77551020,1.28828674,0.64121213,52,0.69230769,1.22388506,0.55730411
d1,50,5,pin_bull+cross_target_relative_up,179,0.75977654,1.24772137,60,0.76666667,1.27359575,0.64563730,30,0.73333333,1.29641159,0.55552038
d1,50,5,price200_bull+adx25+pin_bull,142,0.74647887,1.22588366,18,0.72222222,1.19976412,0.49127343,30,0.73333333,1.29641159,0.55552038
