timeframe,direction,horizon_bars,base_feature,added_feature,disc_n,disc_rate,disc_increment,val_n,val_rate,val_increment,oos_n,oos_rate,oos_increment
h4,bull,1,body_bull,price20_bull,9028,0.05793088,0.00255178,2199,0.04820373,-0.00224732,1654,0.03083434,-0.00045757
h4,bull,1,body_bull,price200_bull,7397,0.05556307,0.00018396,2007,0.04235177,-0.00809928,1458,0.02537723,-0.00591468
h4,bull,1,body_bull,ema20_rising,9028,0.05793088,0.00255178,2199,0.04820373,-0.00224732,1654,0.03083434,-0.00045757
h4,bull,1,body_bull,ema200_rising,7397,0.05556307,0.00018396,2007,0.04235177,-0.00809928,1458,0.02537723,-0.00591468
h4,bull,1,body_bull,momentum_bull,6125,0.05485714,-0.00052196,1527,0.04911591,-0.00133514,1161,0.03273040,0.00143850
h4,bull,1,body_bull,rsi60,4932,0.06265207,0.00727297,1153,0.05030356,-0.00014750,920,0.03369565,0.00240374
h4,bull,1,body_bull,macd_bull,7438,0.05740791,0.00202880,1750,0.05600000,0.00554895,1329,0.03009782,-0.00119409
h4,bull,1,body_bull,macd_rising,10773,0.05736564,0.00198653,2604,0.05184332,0.00139227,1931,0.03262558,0.00133367
h4,bull,1,body_bull,adx25,5348,0.06320120,0.00782209,1181,0.05757832,0.00712727,971,0.03604531,0.00475341
h4,bull,1,body_bull,adx_rising,5824,0.06215659,0.00677749,1405,0.06476868,0.01431763,1053,0.03608737,0.00479546
h4,bull,1,body_bull,di_bull,7310,0.05937073,0.00399162,1746,0.04868270,-0.00176835,1202,0.03078203,-0.00050988
h4,bull,1,body_bull,di_strong_bull,5596,0.06629736,0.01091825,1292,0.05495356,0.00450251,897,0.03455964,0.00326773
h4,bull,1,body_bull,volatility,4413,0.06412871,0.00874961,915,0.06775956,0.01730851,702,0.04131054,0.01001863
h4,bull,1,body_bull,bb_bull,8705,0.05709362,0.00171452,2123,0.05181347,0.00136242,1603,0.02994386,-0.00134805
h4,bull,1,body_bull,bb_upper,5516,0.06399565,0.00861655,1349,0.05559674,0.00514569,1000,0.03400000,0.00270809
h4,bull,1,body_bull,rsi_up1,10126,0.05777207,0.00239297,2556,0.05164319,0.00119214,1852,0.03347732,0.00218541
h4,bull,1,body_bull,rsi_up3,6853,0.05939005,0.00401095,1666,0.06242497,0.01197392,1173,0.04006820,0.00877629
h4,bull,1,body_bull,rsi_cross50_up,2326,0.05588994,0.00051084,628,0.04936306,-0.00108800,409,0.02933985,-0.00195206
h4,bull,1,body_bull,rsi_cross55_up,2322,0.05727821,0.00189911,605,0.05454545,0.00409440,409,0.03422983,0.00293792
h4,bull,1,body_bull,macd_cross_up,1297,0.05936777,0.00398867,286,0.06643357,0.01598251,195,0.02051282,-0.01077909
h4,bull,1,body_bull,macd_accel_up,10773,0.05736564,0.00198653,2604,0.05184332,0.00139227,1931,0.03262558,0.00133367
h4,bull,1,body_bull,adx_up3,2048,0.06201172,0.00663262,501,0.06586826,0.01541721,408,0.05637255,0.02508064
h4,bull,1,body_bull,adx_cross25_up,230,0.07826087,0.02288177,59,0.08474576,0.03429471,39,,
h4,bull,1,body_bull,di_cross_up,1557,0.04945408,-0.00592502,398,0.05778894,0.00733789,257,0.02334630,-0.00794561
h4,bull,1,body_bull,di_spread_up3,5649,0.06195787,0.00657877,1319,0.06595906,0.01550801,954,0.04612159,0.01482968
h4,bull,1,body_bull,ema20_slope_up3,7363,0.05812848,0.00274938,1767,0.04923599,-0.00121506,1370,0.03284672,0.00155481
h4,bull,1,body_bull,price20_cross_up,2662,0.05371901,-0.00166009,698,0.04584527,-0.00460578,466,0.03004292,-0.00124899
h4,bull,1,body_bull,price200_cross_up,944,0.07097458,0.01559547,254,0.05118110,0.00073005,139,0.02877698,-0.00251493
h4,bull,1,body_bull,breakout20_up,3053,0.07107763,0.01569853,715,0.06713287,0.01668181,578,0.04152249,0.01023058
h4,bull,1,body_bull,atr_expand,1073,0.06244175,0.00706265,214,0.07943925,0.02898820,154,0.04545455,0.01416264
h4,bull,1,body_bull,bb_expand,3247,0.06713890,0.01175979,801,0.06117353,0.01072248,624,0.04487179,0.01357989
h4,bull,1,body_bull,body_expand,7742,0.05450788,-0.00087122,1892,0.05338266,0.00293161,1422,0.02953586,-0.00175604
h4,bull,3,volatility,trend_bull,9265,0.17722612,-0.00564163,2286,0.16754156,-0.03483940,1512,0.13690476,-0.01313332
h4,bull,3,volatility,price20_bull,11864,0.16731288,-0.01555487,2628,0.18340944,-0.01897152,1840,0.12391304,-0.02612504
h4,bull,3,volatility,price200_bull,12594,0.17508337,-0.00778438,3078,0.17706303,-0.02531792,2029,0.13257762,-0.01746046
h4,bull,3,volatility,ema20_rising,11864,0.16731288,-0.01555487,2628,0.18340944,-0.01897152,1840,0.12391304,-0.02612504
h4,bull,3,volatility,ema200_rising,12594,0.17508337,-0.00778438,3078,0.17706303,-0.02531792,2029,0.13257762,-0.01746046
h4,bull,3,volatility,momentum_bull,7819,0.15615808,-0.02670968,1739,0.17308798,-0.02929297,1153,0.11708586,-0.03295222
h4,bull,3,volatility,rsi60,5813,0.15964218,-0.02322557,1320,0.18106061,-0.02132035,896,0.11049107,-0.03954701
h4,bull,3,volatility,macd_bull,12084,0.17676266,-0.00610509,2542,0.20692368,0.00454273,1928,0.14315353,-0.00688455
h4,bull,3,volatility,macd_rising,12514,0.18379415,0.00092640,2729,0.21399780,0.01161685,2101,0.15992385,0.00988577
h4,bull,3,volatility,adx25,13559,0.20768493,0.02481718,2791,0.21390183,0.01152087,2339,0.16460026,0.01456218
h4,bull,3,volatility,adx_rising,12036,0.18062479,-0.00224296,2669,0.22218059,0.01979964,2084,0.16986564,0.01982756
h4,bull,3,volatility,di_bull,10921,0.16573574,-0.01713202,2449,0.17435688,-0.02802407,1524,0.12073491,-0.02930317
h4,bull,3,volatility,di_strong_bull,8056,0.16633565,-0.01653210,1776,0.17849099,-0.02388996,1116,0.11559140,-0.03444668
h4,bull,3,volatility,bb_bull,11879,0.16937453,-0.01349323,2606,0.18649271,-0.01588824,1873,0.12439936,-0.02563872
h4,bull,3,volatility,bb_upper,5526,0.15544698,-0.02742078,1265,0.19841897,-0.00396198,855,0.13450292,-0.01553516
h4,bull,3,volatility,body_bull,4413,0.18150918,-0.00135858,915,0.20765027,0.00526932,702,0.15954416,0.00950608
h4,bull,3,volatility,rsi_up1,6002,0.17727424,-0.00559351,1298,0.21032357,0.00794262,974,0.16119097,0.01115288
h4,bull,3,volatility,rsi_up3,6969,0.17290860,-0.00995916,1528,0.21007853,0.00769758,1114,0.13195691,-0.01808117
h4,bull,3,volatility,rsi_cross50_up,1422,0.16174402,-0.02112373,320,0.17500000,-0.02738095,205,0.11707317,-0.03296491
h4,bull,3,volatility,rsi_cross55_up,1302,0.16129032,-0.02157743,286,0.19580420,-0.00657676,178,0.15730337,0.00726529
h4,bull,3,volatility,macd_cross_up,1035,0.18067633,-0.00219143,225,0.19111111,-0.01126984,154,0.14285714,-0.00718094
h4,bull,3,volatility,macd_accel_up,12514,0.18379415,0.00092640,2729,0.21399780,0.01161685,2101,0.15992385,0.00988577
h4,bull,3,volatility,adx_up3,5205,0.19442843,0.01156068,1109,0.23895401,0.03657306,1092,0.18589744,0.03585936
h4,bull,3,volatility,adx_cross25_up,529,0.15879017,-0.02407758,117,0.17948718,-0.02289377,95,0.17894737,0.02890929
h4,bull,3,volatility,di_cross_up,1108,0.17689531,-0.00597245,258,0.17829457,-0.02408638,147,0.13605442,-0.01398366
h4,bull,3,volatility,di_spread_up3,7333,0.17346243,-0.00940532,1585,0.20441640,0.00203545,1173,0.13810742,-0.01193066
h4,bull,3,volatility,ema20_slope_up3,11808,0.16615854,-0.01670922,2598,0.18244804,-0.01993292,1808,0.12002212,-0.03001596
h4,bull,3,volatility,price20_cross_up,1593,0.16949153,-0.01337623,375,0.17866667,-0.02371429,239,0.12552301,-0.02451507
h4,bull,3,volatility,price200_cross_up,588,0.15136054,-0.03150721,155,0.23870968,0.03632873,88,0.15909091,0.00905283
h4,bull,3,volatility,breakout20_up,1720,0.17616279,-0.00670496,384,0.21614583,0.01376488,274,0.12773723,-0.02230085
h4,bull,3,volatility,atr_expand,2864,0.20076816,0.01790040,605,0.24462810,0.04224715,491,0.16293279,0.01289471
h4,bull,3,volatility,bb_expand,7176,0.18199554,-0.00087221,1540,0.22337662,0.02099567,1214,0.14991763,-0.00012045
h4,bull,3,volatility,body_expand,7611,0.17829457,-0.00457318,1669,0.20671061,0.00432965,1204,0.15614618,0.00610810
h4,bull,3,atr_expand,trend_bull,2039,0.17999019,0.00205352,334,0.21257485,0.01044719,293,0.13310580,-0.02094825
