conditions,pair,event_timestamp,hit100,hit150,hit200,hit300
price20+price200+macd+volatility,audnzd,2025-04-07 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2025-04-11 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2025-05-28 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2026-05-27 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2026-07-10 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2026-07-14 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2026-07-29 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-01-28 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2021-02-01 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-02-26 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-03-01 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-03-05 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-03-05 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-06-16 20:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2021-06-17 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-07-19 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-08-19 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-09-14 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-09-16 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-09-28 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-11-05 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2021-11-19 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2021-12-03 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-01-24 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-01-27 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-04-22 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-04-22 16:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2022-04-25 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-05-06 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-05-09 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2022-05-09 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-06-13 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-06-22 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-09-01 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-09-14 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-09-15 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-09-23 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-09-26 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2022-09-26 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-10-06 20:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2022-10-28 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2022-11-03 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2023-02-03 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2023-02-16 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2023-02-17 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2023-05-11 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2023-06-23 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2023-07-28 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2023-08-17 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2023-09-21 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-02-01 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-03-15 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-03-25 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-04-10 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-04-12 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-04-16 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-07-25 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-07-31 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-11-06 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-11-12 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2024-12-04 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2025-01-09 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2025-02-27 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2025-04-04 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2025-04-04 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2025-04-07 00:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audusd,2025-04-07 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2025-10-12 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2025-11-17 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audusd,2026-03-23 08:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurgbp,2021-02-02 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2021-03-04 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2021-07-22 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2021-10-01 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2022-03-01 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2022-03-02 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2022-07-07 16:00:00+00:00,0,0,0,0
