timeframe,direction,target_pips,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_positive_lift,oos_pair_positive_share,oos_min_pair_lift,oos_median_pair_lift,oos_recomputed_samples,oos_recomputed_hit_rate,oos_wilson95_lower
h4,bull,150,price20+macd+adx+volatility,504,112,64,1.65868740,1.30549451,0.43990385,7,1,0.14285714,0.00000000,0.00000000,64,0.01562500,0.00276354
h4,bull,150,price200+macd+adx+bb,828,198,106,1.65683825,1.38461538,0.53120464,11,2,0.18181818,0.00000000,0.00000000,106,0.01886792,0.00518961
h4,bull,150,price200+macd+adx+di,809,189,92,1.64275819,1.45054945,0.61204013,10,2,0.20000000,0.00000000,0.00000000,92,0.02173913,0.00598204
h4,bull,150,adx+di+volatility,603,128,59,1.63520043,1.28509615,0.47718383,6,1,0.16666667,0.00000000,1.91666667,59,0.01694915,0.00299823
h4,bull,150,trend+macd+adx+volatility,276,71,0,1.63095015,0.77226436,,1,0,0.00000000,,,28,0.03571429,0.00633252
h4,bull,150,macd+adx+volatility+bb,540,118,68,1.62749840,1.23911343,0.41402715,8,1,0.12500000,0.00000000,0.00000000,68,0.01470588,0.00260068
h4,bull,150,macd+adx+bb+body,382,76,0,1.62729058,1.44291498,,5,0,0.00000000,0.00000000,0.00000000,47,0.00000000,-0.00000000
h4,bull,150,price20+price200+macd+adx,818,195,102,1.62468384,1.40591716,0.55203620,11,2,0.18181818,0.00000000,0.00000000,102,0.01960784,0.00539375
h4,bull,150,macd+adx+bb,1109,252,147,1.62359690,1.45054945,0.76609105,11,2,0.18181818,0.00000000,0.29292929,147,0.02721088,0.01063156
h4,bull,150,price20+macd+adx+bb,1045,243,140,1.62047104,1.50427350,0.80439560,11,2,0.18181818,0.00000000,0.35151515,140,0.02857143,0.01116578
h4,bull,150,price20+macd+adx,1049,243,140,1.61429194,1.50427350,0.80439560,11,2,0.18181818,0.00000000,0.35151515,140,0.02857143,0.01116578
h4,bull,150,momentum+macd+adx+volatility,360,71,0,1.60765086,1.54452871,,3,0,0.00000000,0.00000000,0.00000000,46,0.00000000,0.00000000
h4,bull,150,price20+adx+volatility+bb,561,119,69,1.60478517,1.22870071,0.40802676,8,1,0.12500000,0.00000000,0.00000000,69,0.01449275,0.00256292
h4,bull,150,price200+adx+volatility,628,143,73,1.60423759,1.40591716,0.38566913,7,1,0.14285714,0.00000000,0.00000000,73,0.01369863,0.00242225
h4,bull,150,price200+macd+volatility+body,254,66,0,1.60343131,1.66153846,,2,0,0.00000000,0.00000000,0.00000000,35,0.02857143,0.00506149
h4,bull,150,trend+price20+macd+adx,590,142,65,1.59856809,0.90097508,0.86627219,8,2,0.25000000,0.00000000,0.00000000,65,0.03076923,0.00847900
h4,bull,150,adx+volatility+body,577,106,86,1.59743471,1.55181422,0.98211091,8,2,0.25000000,0.00000000,0.00000000,86,0.03488372,0.01193380
