timeframe,period,from_target,to_target,conditions,samples,continuation_rate,unconditional_rate,lift,wilson95_lower,post_target_mfe_pips_mean,post_target_mae_pips_mean
h4,oos,100,150,dmi_adx_strong_bull+atr_expand+breakout20_up+strong_close_bull,155,0.72903226,0.44026549,1.65589237,0.65415257,76.00451613,-12.16645161
h4,discovery,100,150,sma_stack_bull+atr_expand+structure_bull_transition+strong_close_bull,389,0.68123393,0.47775477,1.42590714,0.63334646,102.85475578,-32.50668380
h4,validation,100,150,sma_stack_bull+atr_expand+structure_bull_transition+strong_close_bull,64,0.68750000,0.49471831,1.38967972,0.56607664,70.72343750,-69.63750000
h4,oos,100,150,sma_stack_bull+atr_expand+structure_bull_transition+strong_close_bull,59,0.76271186,0.44026549,1.73239077,0.64025109,84.40000000,-11.98135593
h4,discovery,100,150,sma_stack_bull+bb_expand+strong_close_bull+mtf_adx25,521,0.67946257,0.47775477,1.42219946,0.63820140,95.82495202,-53.23685221
h4,validation,100,150,sma_stack_bull+bb_expand+strong_close_bull+mtf_adx25,82,0.62195122,0.49471831,1.25718254,0.51377137,80.10365854,-16.04146341
h4,oos,100,150,sma_stack_bull+bb_expand+strong_close_bull+mtf_adx25,78,0.64102564,0.44026549,1.45599794,0.53026803,74.40128205,-20.48717949
h4,discovery,100,150,price200_bull+atr_expand+horizontal_break_up+strong_close_bull,882,0.67800454,0.47775477,1.41914761,0.64645409,94.45850340,-20.13219955
h4,validation,100,150,price200_bull+atr_expand+horizontal_break_up+strong_close_bull,167,0.80838323,0.49471831,1.63402732,0.74202615,121.86467066,-18.34431138
h4,oos,100,150,price200_bull+atr_expand+horizontal_break_up+strong_close_bull,130,0.72307692,0.44026549,1.64236567,0.64059471,77.55384615,-9.24076923
h4,discovery,100,150,ema200_rising+atr_expand+horizontal_break_up+strong_close_bull,882,0.67800454,0.47775477,1.41914761,0.64645409,94.45850340,-20.13219955
h4,validation,100,150,ema200_rising+atr_expand+horizontal_break_up+strong_close_bull,167,0.80838323,0.49471831,1.63402732,0.74202615,121.86467066,-18.34431138
h4,oos,100,150,ema200_rising+atr_expand+horizontal_break_up+strong_close_bull,130,0.72307692,0.44026549,1.64236567,0.64059471,77.55384615,-9.24076923
h4,discovery,100,150,sma_stack_bull+atr_expand+horizontal_break_up+mtf_volatility,177,0.67796610,0.47775477,1.41906716,0.60597981,117.39378531,-55.48644068
h4,validation,100,150,sma_stack_bull+atr_expand+horizontal_break_up+mtf_volatility,23,0.43478261,0.49471831,0.87884883,0.25634635,67.77391304,-85.85652174
h4,oos,100,150,sma_stack_bull+atr_expand+horizontal_break_up+mtf_volatility,10,0.30000000,0.44026549,0.68140704,0.10779127,32.19000000,-100.18000000
h4,discovery,100,150,sma_stack_bull+atr_expand+impulse_bull+mtf_volatility,214,0.67757009,0.47775477,1.41823827,0.61229116,113.85046729,-62.64719626
h4,validation,100,150,sma_stack_bull+atr_expand+impulse_bull+mtf_volatility,35,0.28571429,0.49471831,0.57752923,0.16326536,25.72857143,-95.18285714
h4,oos,100,150,sma_stack_bull+atr_expand+impulse_bull+mtf_volatility,10,0.30000000,0.44026549,0.68140704,0.10779127,32.19000000,-100.18000000
h4,discovery,100,150,price200_bull+bb_expand+strong_close_bull+mtf_adx25,871,0.67738232,0.47775477,1.41784523,0.64561628,90.24293915,-43.55419059
h4,validation,100,150,price200_bull+bb_expand+strong_close_bull+mtf_adx25,123,0.60975610,0.49471831,1.23253190,0.52147564,79.02764228,-18.39430894
h4,oos,100,150,price200_bull+bb_expand+strong_close_bull+mtf_adx25,125,0.62400000,0.44026549,1.41732663,0.53658267,68.34560000,-20.61280000
h4,discovery,100,150,ema200_rising+bb_expand+strong_close_bull+mtf_adx25,871,0.67738232,0.47775477,1.41784523,0.64561628,90.24293915,-43.55419059
h4,validation,100,150,ema200_rising+bb_expand+strong_close_bull+mtf_adx25,123,0.60975610,0.49471831,1.23253190,0.52147564,79.02764228,-18.39430894
h4,oos,100,150,ema200_rising+bb_expand+strong_close_bull+mtf_adx25,125,0.62400000,0.44026549,1.41732663,0.53658267,68.34560000,-20.61280000
