timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
h4,bear,1,atr_expand+mtf_di_strong_bear+pullback_bear,553,123,83,2.10397762,0.93620277,2.27280357,0.03355030,10,3,0.04873737,0.00000000
h4,bear,1,atr_expand+mtf_macd_bear+structure_ll,970,191,145,2.08875687,1.20578996,3.25246029,0.06369837,12,6,0.12393162,0.00000000
h4,bear,1,adx_up3+mtf_di_strong_bear+range_expand,1666,367,335,2.07105533,1.88260939,1.97089385,0.04136304,12,6,0.05005226,0.00000000
h4,bear,1,atr_expand+mtf_di_strong_bear+structure_breakout20_down,272,58,61,2.06503482,1.65449628,3.60792043,0.05671203,7,3,0.09523810,0.00000000
h4,bear,1,atr_expand+mtf_di_strong_bear+structure_ll,574,102,97,2.02700282,1.12895040,2.91715510,0.04958322,11,5,0.11691919,0.00000000
h4,bear,1,rsi_cross45_down+mtf_volatility,1011,214,183,2.00404962,1.07619571,3.26430896,0.06748048,11,5,0.09773329,0.00000000
h4,bear,1,atr_expand+mtf_adx25,1886,283,262,1.98901552,1.15288575,3.00004289,0.06546883,12,6,0.08841820,0.00000000
h4,bear,1,atr_expand+mtf_di_strong_bear+range_expand,1009,225,158,1.98814056,1.53537255,1.79091168,0.03025408,11,6,0.06964979,0.00000000
h4,bear,1,rsi_cross45_down+breakout20_down,567,144,102,1.98126798,1.33278867,1.84943820,0.02723564,10,4,0.06971612,0.00000000
h4,bear,1,rsi_cross45_down+structure_breakout20_down,567,144,102,1.98126798,1.33278867,1.84943820,0.02723564,10,4,0.06971612,0.00000000
h4,bear,1,mtf_volatility+range_expand,8716,1628,1480,1.97933581,2.25165968,2.27305952,0.06018102,12,8,0.07209444,0.00000000
h4,bear,1,price200_cross_down+breakout20_down,355,101,72,1.97777983,2.28025626,2.62003745,0.03875242,9,4,0.08787879,0.00000000
h4,bear,1,price200_cross_down+structure_breakout20_down,355,101,72,1.97777983,2.28025626,2.62003745,0.03875242,9,4,0.08787879,0.00000000
h4,bear,1,atr_expand+mtf_rsi40,944,212,116,1.97628333,1.53899371,2.98142193,0.05377736,11,6,0.10995671,0.00000000
h4,bear,1,atr_expand+mtf_di_strong_bear+impulse_bear,500,88,92,1.96591315,1.30855615,3.41744016,0.06012152,10,4,0.11746032,0.00000000
h4,bear,1,bb_lower+atr_expand,1846,347,334,1.95604599,1.54864666,3.20052479,0.07376414,12,7,0.08974379,0.00000000
h4,bear,1,adx_up3+mtf_di_strong_bear+impulse_bear,986,201,200,1.95313639,1.33676714,3.14404494,0.06567045,12,6,0.07363294,0.00000000
h4,bear,1,bb_expand+mtf_di_strong_bear+range_expand,2255,463,398,1.94821024,1.45081099,1.65891819,0.03476665,12,8,0.05052701,0.00000000
h4,bear,1,atr_expand+mtf_price20_bear+structure_breakout20_down,443,96,79,1.94716602,1.79926471,3.18384298,0.05221181,10,4,0.09285714,0.00000000
h4,bear,1,atr_expand+mtf_macd_bear+impulse_bear,837,167,128,1.94132306,1.83876952,3.43879916,0.06627880,12,6,0.12172619,0.00000000
h4,bear,1,adx25+atr_expand,2444,473,347,1.93708668,1.58244000,1.90273613,0.03992031,12,7,0.06101544,0.00000000
h4,bear,1,mtf_volatility+impulse_bear,3668,650,632,1.93603047,1.97826848,2.68636752,0.06607584,12,8,0.08525433,0.00000000
h4,bear,1,adx_up3+atr_expand,1626,337,330,1.92460810,1.36680049,2.76294859,0.06188288,12,7,0.07910477,0.00000000
h4,bear,1,bb_expand+mtf_di_strong_bear+impulse_bear,1275,229,213,1.91949904,1.42474527,2.65693939,0.05412184,12,8,0.07795244,0.00000000
h4,bear,1,mtf_rsi40+mtf_volatility,5389,861,945,1.91706703,2.58570290,3.22722074,0.08487640,12,7,0.07297522,0.00000000
h4,bear,1,mtf_di_strong_bear+mtf_volatility,9173,1449,1561,1.91571529,2.35762866,2.59821779,0.06998353,12,6,0.05936632,0.00000000
h4,bear,1,atr_expand+mtf_di_strong_bear+structure_lh,788,155,153,1.90929616,1.11438330,2.05493134,0.03588611,11,5,0.06383487,0.00000000
h4,bear,1,atr_expand+mtf_adx_rising+impulse_bear,821,153,134,1.90585431,1.37982827,4.22334395,0.08668714,11,6,0.16062574,0.00000000
h4,bear,1,rsi_cross50_down+bb_expand,308,56,50,1.88879809,0.00000000,5.65928090,0.09770193,5,3,0.22261905,0.00000000
h4,bear,1,breakout20_down+mtf_adx25,1520,245,220,1.88725551,1.17503001,2.28657814,0.04525897,12,6,0.10536598,0.00000000
h4,bear,1,mtf_adx25+structure_breakout20_down,1520,245,220,1.88725551,1.17503001,2.28657814,0.04525897,12,6,0.10536598,0.00000000
h4,bear,1,di_strong_bear+atr_expand,2257,431,421,1.87537943,1.73664528,2.76317489,0.06443298,12,7,0.07757064,0.00000000
h4,bear,1,volatility+atr_expand,2864,605,491,1.86314595,1.99852212,2.43327307,0.05690261,12,7,0.07781376,0.00000000
h4,bear,1,atr_expand+mtf_macd_bear+structure_lh,1314,268,219,1.86252760,1.43225051,2.15345544,0.04194373,12,6,0.06322423,0.00000000
h4,bear,1,atr_expand+mtf_macd_bear+range_expand,1698,390,256,1.85481338,1.91921569,1.96502809,0.03883364,12,6,0.06536749,0.00000000
h4,bear,1,atr_expand+mtf_di_strong_bear,1446,309,239,1.84510719,1.24221080,2.36789996,0.04816771,11,7,0.07612394,0.00000000
h4,bear,1,atr_expand+mtf_adx_rising+structure_ll,904,173,144,1.84182310,0.88749858,3.93005618,0.08055066,11,6,0.14886045,0.00000000
h4,bear,1,atr_expand+mtf_price20_bear+impulse_bear,755,148,117,1.83332893,1.94515103,2.95593969,0.05331046,11,5,0.12904040,0.00000000
h4,bear,1,rsi_cross50_down+atr_expand,493,74,68,1.83106536,0.77806041,3.69887640,0.06083493,8,3,0.10515873,0.00000000
h4,bear,1,volatility+mtf_volatility,9620,1647,1395,1.82878552,2.57526816,2.50171318,0.06649567,12,8,0.07996697,0.00000000
h4,bear,1,atr_expand+mtf_adx_rising+range_expand,1729,342,244,1.82155761,1.51517028,2.96364892,0.06363413,12,6,0.08778810,0.00000000
h4,bear,1,bb_expand+mtf_macd_bear+impulse_bear,2020,442,348,1.81734748,1.95395262,2.16830686,0.04677935,12,6,0.07106422,0.00000000
h4,bear,1,adx_up3+mtf_macd_bear+range_expand,2574,616,516,1.80808022,1.86936593,1.94979531,0.04426804,12,6,0.05495354,0.00000000
h4,bear,1,atr_expand+structure_ll,1861,327,288,1.80014857,1.05644900,3.05671036,0.06812319,12,6,0.11295354,0.00000000
h4,bear,1,macd_bear+atr_expand,2630,500,431,1.80009119,1.61214118,2.62611643,0.06094200,12,7,0.07676446,0.00000000
h4,bear,1,price20_cross_down+mtf_volatility,1261,236,213,1.79763539,1.87042207,2.21411616,0.04313817,12,6,0.06896421,0.00000000
h4,bear,1,atr_expand+mtf_price20_bear+structure_ll,894,177,128,1.79510857,1.40959344,3.19317065,0.06031865,10,5,0.10621795,0.00000000
h4,bear,1,atr_expand+bb_expand,2638,511,470,1.78702786,1.31453129,2.27441549,0.05222650,12,7,0.06752353,0.00000000
h4,bear,1,rsi_cross50_down+mtf_volatility,1103,217,188,1.78233287,2.03419174,2.17407363,0.04085302,11,5,0.06523104,0.00000000
h4,bear,1,bb_expand+mtf_adx_rising+range_expand,3355,786,611,1.78181246,1.34296263,1.54372092,0.03460677,12,5,0.04871066,0.00000000
h4,bear,1,ema20_slope_down3+atr_expand,2514,494,412,1.76345854,1.63172184,2.74722374,0.06378261,12,7,0.07441918,0.00000000
h4,bear,1,price20_bear+atr_expand,2595,493,429,1.76252683,1.55717297,2.71164715,0.06321880,12,7,0.07771210,0.00000000
h4,bear,1,ema20_falling+atr_expand,2595,493,429,1.76252683,1.55717297,2.71164715,0.06321880,12,7,0.07771210,0.00000000
h4,bear,1,bb_bear+atr_expand,2608,491,429,1.76143308,1.56351583,2.78493492,0.06521413,12,7,0.07905641,0.00000000
h4,bear,1,adx_up3+mtf_price20_bear+range_expand,2495,574,469,1.76080725,1.87240555,1.81000455,0.03986349,12,7,0.05537389,0.00000000
h4,bear,1,rsi_cross45_down+atr_expand,491,84,76,1.75681170,1.37086835,4.13690124,0.07306882,9,4,0.14743590,0.00000000
h4,bear,1,mtf_di_bear+mtf_volatility,11983,2074,2011,1.75609571,2.21163235,2.32950123,0.06343908,12,5,0.05749020,0.00000000
h4,bear,1,di_bear+atr_expand,2674,506,458,1.75546715,1.74474153,2.60859624,0.06104351,12,7,0.07304852,0.00000000
h4,bear,1,volatility+breakout20_down,1855,346,272,1.75190016,2.38515244,3.58328652,0.08146253,12,9,0.10625181,0.00000000
h4,bear,1,volatility+structure_breakout20_down,1855,346,272,1.75190016,2.38515244,3.58328652,0.08146253,12,9,0.10625181,0.00000000
