pair,h,a,b,gap,n,hit
usdjpy,24,atr_expand,bb_expand,2,18,0.6666666666666666
usdjpy,24,atr_expand,bb_expand,3,12,0.5833333333333334
usdjpy,24,bb_expand,adx_up3,1,39,0.6153846153846154
usdjpy,24,bb_expand,adx_up3,2,37,0.6486486486486487
usdjpy,24,bb_expand,adx_up3,3,31,0.6774193548387096
usdjpy,24,bb_expand,atr_expand,1,12,0.75
usdjpy,24,bb_expand,atr_expand,2,7,0.7142857142857143
usdjpy,24,breakout_down20,adx_up3,1,11,0.6363636363636364
usdjpy,24,breakout_down20,adx_up3,2,15,0.6
usdjpy,24,breakout_down20,adx_up3,3,8,0.75
usdjpy,24,breakout_down20,atr_expand,1,5,0.8
usdjpy,24,breakout_down20,bb_expand,1,13,0.6153846153846154
usdjpy,24,breakout_down20,bb_expand,2,13,0.5384615384615384
usdjpy,24,breakout_down20,bb_expand,3,9,0.6666666666666666
usdjpy,24,retest_down,adx_up3,1,11,0.6363636363636364
usdjpy,24,retest_down,adx_up3,2,15,0.6
usdjpy,24,retest_down,adx_up3,3,8,0.75
usdjpy,24,retest_down,atr_expand,1,5,0.8
usdjpy,24,retest_down,bb_expand,1,13,0.6153846153846154
usdjpy,24,retest_down,bb_expand,2,13,0.5384615384615384
usdjpy,24,retest_down,bb_expand,3,9,0.6666666666666666
eurjpy,1,adx_up3,bb_expand,1,28,0.25
eurjpy,1,adx_up3,bb_expand,2,20,0.35
eurjpy,1,adx_up3,bb_expand,3,13,0.38461538461538464
eurjpy,1,rsi_down1,adx_up3,1,14,0.07142857142857142
eurjpy,1,rsi_down1,adx_up3,2,15,0.3333333333333333
eurjpy,1,rsi_down1,adx_up3,3,12,0.25
eurjpy,1,rsi_down1,atr_expand,1,6,0.16666666666666666
eurjpy,1,rsi_down1,atr_expand,2,7,0.14285714285714285
eurjpy,1,rsi_down1,bb_expand,1,23,0.08695652173913043
eurjpy,1,rsi_down1,bb_expand,2,16,0.375
eurjpy,1,rsi_down1,bb_expand,3,19,0.15789473684210525
eurjpy,1,rsi_down1,breakout_down20,1,5,0.2
eurjpy,1,rsi_down1,retest_down,1,5,0.2
eurjpy,1,price20_cross_down,bb_expand,3,5,0.0
eurjpy,1,atr_expand,adx_up3,1,7,0.14285714285714285
eurjpy,1,atr_expand,adx_up3,2,6,0.16666666666666666
eurjpy,1,atr_expand,adx_up3,3,6,0.0
eurjpy,1,atr_expand,bb_expand,1,10,0.3
eurjpy,1,atr_expand,bb_expand,2,10,0.4
eurjpy,1,atr_expand,bb_expand,3,9,0.2222222222222222
eurjpy,1,bb_expand,adx_up3,1,36,0.2222222222222222
eurjpy,1,bb_expand,adx_up3,2,31,0.22580645161290322
eurjpy,1,bb_expand,adx_up3,3,30,0.2
eurjpy,1,bb_expand,atr_expand,1,8,0.5
eurjpy,1,breakout_down20,adx_up3,1,9,0.2222222222222222
eurjpy,1,breakout_down20,adx_up3,2,7,0.5714285714285714
eurjpy,1,breakout_down20,adx_up3,3,5,0.2
eurjpy,1,breakout_down20,atr_expand,1,5,0.2
eurjpy,1,breakout_down20,bb_expand,1,12,0.3333333333333333
eurjpy,1,breakout_down20,bb_expand,2,9,0.5555555555555556
eurjpy,1,breakout_down20,bb_expand,3,7,0.42857142857142855
eurjpy,1,breakout_down20,retest_down,1,5,0.2
eurjpy,1,retest_down,adx_up3,1,9,0.2222222222222222
eurjpy,1,retest_down,adx_up3,2,7,0.5714285714285714
eurjpy,1,retest_down,adx_up3,3,5,0.2
eurjpy,1,retest_down,bb_expand,1,11,0.36363636363636365
eurjpy,1,retest_down,bb_expand,2,8,0.5
eurjpy,1,retest_down,bb_expand,3,7,0.42857142857142855
eurjpy,1,retest_down,breakout_down20,1,5,0.2
eurjpy,3,adx_up3,bb_expand,1,28,0.35714285714285715
eurjpy,3,adx_up3,bb_expand,2,20,0.5
eurjpy,3,adx_up3,bb_expand,3,13,0.6153846153846154
eurjpy,3,rsi_down1,adx_up3,1,14,0.35714285714285715
eurjpy,3,rsi_down1,adx_up3,2,15,0.5333333333333333
eurjpy,3,rsi_down1,adx_up3,3,12,0.3333333333333333
eurjpy,3,rsi_down1,atr_expand,1,6,0.6666666666666666
eurjpy,3,rsi_down1,atr_expand,2,7,0.2857142857142857
eurjpy,3,rsi_down1,bb_expand,1,23,0.30434782608695654
eurjpy,3,rsi_down1,bb_expand,2,16,0.4375
eurjpy,3,rsi_down1,bb_expand,3,19,0.2631578947368421
eurjpy,3,rsi_down1,breakout_down20,1,5,0.6
eurjpy,3,rsi_down1,retest_down,1,5,0.6
eurjpy,3,price20_cross_down,bb_expand,3,5,0.2
eurjpy,3,atr_expand,adx_up3,1,7,0.42857142857142855
eurjpy,3,atr_expand,adx_up3,2,6,0.5
eurjpy,3,atr_expand,adx_up3,3,6,0.16666666666666666
eurjpy,3,atr_expand,bb_expand,1,10,0.6
eurjpy,3,atr_expand,bb_expand,2,10,0.6
eurjpy,3,atr_expand,bb_expand,3,9,0.2222222222222222
eurjpy,3,bb_expand,adx_up3,1,36,0.4444444444444444
eurjpy,3,bb_expand,adx_up3,2,31,0.3870967741935484
eurjpy,3,bb_expand,adx_up3,3,30,0.36666666666666664
eurjpy,3,bb_expand,atr_expand,1,8,0.625
eurjpy,3,breakout_down20,adx_up3,1,9,0.4444444444444444
eurjpy,3,breakout_down20,adx_up3,2,7,0.5714285714285714
eurjpy,3,breakout_down20,adx_up3,3,5,0.2
eurjpy,3,breakout_down20,atr_expand,1,5,0.8
eurjpy,3,breakout_down20,bb_expand,1,12,0.75
eurjpy,3,breakout_down20,bb_expand,2,9,0.5555555555555556
eurjpy,3,breakout_down20,bb_expand,3,7,0.42857142857142855
eurjpy,3,breakout_down20,retest_down,1,5,0.6
eurjpy,3,retest_down,adx_up3,1,9,0.4444444444444444
eurjpy,3,retest_down,adx_up3,2,7,0.5714285714285714
eurjpy,3,retest_down,adx_up3,3,5,0.2
eurjpy,3,retest_down,bb_expand,1,11,0.7272727272727273
eurjpy,3,retest_down,bb_expand,2,8,0.5
eurjpy,3,retest_down,bb_expand,3,7,0.42857142857142855
eurjpy,3,retest_down,breakout_down20,1,5,0.6
eurjpy,6,adx_up3,bb_expand,1,28,0.5
eurjpy,6,adx_up3,bb_expand,2,20,0.55
eurjpy,6,adx_up3,bb_expand,3,13,0.6153846153846154
eurjpy,6,rsi_down1,adx_up3,1,14,0.5714285714285714
eurjpy,6,rsi_down1,adx_up3,2,15,0.6666666666666666
eurjpy,6,rsi_down1,adx_up3,3,12,0.3333333333333333
eurjpy,6,rsi_down1,atr_expand,1,6,0.8333333333333334
eurjpy,6,rsi_down1,atr_expand,2,7,0.5714285714285714
eurjpy,6,rsi_down1,bb_expand,1,23,0.391304347826087
eurjpy,6,rsi_down1,bb_expand,2,16,0.5625
eurjpy,6,rsi_down1,bb_expand,3,19,0.42105263157894735
eurjpy,6,rsi_down1,breakout_down20,1,5,0.8
eurjpy,6,rsi_down1,retest_down,1,5,0.8
eurjpy,6,price20_cross_down,bb_expand,3,5,0.4
eurjpy,6,atr_expand,adx_up3,1,7,0.42857142857142855
eurjpy,6,atr_expand,adx_up3,2,6,0.5
eurjpy,6,atr_expand,adx_up3,3,6,0.16666666666666666
eurjpy,6,atr_expand,bb_expand,1,10,0.6
eurjpy,6,atr_expand,bb_expand,2,10,0.6
eurjpy,6,atr_expand,bb_expand,3,9,0.2222222222222222
eurjpy,6,bb_expand,adx_up3,1,36,0.5833333333333334
eurjpy,6,bb_expand,adx_up3,2,31,0.5483870967741935
eurjpy,6,bb_expand,adx_up3,3,30,0.5666666666666667
eurjpy,6,bb_expand,atr_expand,1,8,0.75
eurjpy,6,breakout_down20,adx_up3,1,9,0.6666666666666666
eurjpy,6,breakout_down20,adx_up3,2,7,0.5714285714285714
eurjpy,6,breakout_down20,adx_up3,3,5,0.2
eurjpy,6,breakout_down20,atr_expand,1,5,0.8
eurjpy,6,breakout_down20,bb_expand,1,12,0.8333333333333334
eurjpy,6,breakout_down20,bb_expand,2,9,0.6666666666666666
eurjpy,6,breakout_down20,bb_expand,3,7,0.5714285714285714
eurjpy,6,breakout_down20,retest_down,1,5,0.8
eurjpy,6,retest_down,adx_up3,1,9,0.6666666666666666
eurjpy,6,retest_down,adx_up3,2,7,0.5714285714285714
eurjpy,6,retest_down,adx_up3,3,5,0.2
eurjpy,6,retest_down,bb_expand,1,11,0.8181818181818182
eurjpy,6,retest_down,bb_expand,2,8,0.625
eurjpy,6,retest_down,bb_expand,3,7,0.5714285714285714
eurjpy,6,retest_down,breakout_down20,1,5,0.8
eurjpy,12,adx_up3,bb_expand,1,28,0.5357142857142857
eurjpy,12,adx_up3,bb_expand,2,20,0.6
