timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
d1,bear,3,adx25+di_spread_down3,1564,335,290,1.11952345,0.89590122,1.00355872,0.35859583,12,7,0.40590956,0.05263158
d1,bear,3,macd_bear+di_bear+volatility+bb_bear,1636,279,313,1.11907656,1.26555728,1.24750151,0.45917013,12,8,0.46173459,0.20000000
d1,bear,3,body_bear+adx_up3,332,59,51,1.11429332,0.86028401,1.14130207,0.34052990,5,3,0.45333333,0.16666667
d1,bear,3,adx25+body_expand,1648,352,286,1.11092794,1.02817541,0.90735510,0.32006085,12,4,0.35536586,0.06250000
d1,bear,3,volatility+bb_lower,1101,188,192,1.10920995,1.27948346,1.13684386,0.39947015,11,6,0.45340154,0.21739130
d1,bear,3,body_bear+bb_expand,493,117,86,1.10854001,0.99966856,0.90242489,0.27746251,11,4,0.37997835,0.00000000
d1,bear,3,rsi_down1+atr_expand,285,46,62,1.10629600,1.53517601,1.56468833,0.52081131,6,5,0.70667989,0.28571429
d1,bear,3,adx25+bb_expand,1394,281,259,1.10526430,1.00523981,1.08621993,0.38851626,12,6,0.41878475,0.00000000
d1,bear,3,di_bear+volatility,2362,401,406,1.10259586,1.23823813,1.20665989,0.44915339,12,8,0.45634680,0.11111111
d1,bear,3,adx25+adx_up3,1524,311,303,1.10201309,0.96503829,0.99251847,0.35534984,12,6,0.41749433,0.15384615
d1,bear,5,adx25+atr_expand,323,47,69,1.19110964,1.35711852,1.39745603,0.57916430,8,6,0.71041667,0.16666667
d1,bear,5,adx_up3+atr_expand,229,38,60,1.15502526,1.34283307,1.37270941,0.55766233,6,5,0.72235450,0.42857143
d1,bear,5,volatility+atr_expand,436,112,96,1.15421676,1.35054065,1.42293048,0.61080110,10,8,0.71294872,0.25000000
d1,bear,5,di_spread_down3+atr_expand,342,57,95,1.14000300,1.18297199,1.45905442,0.62918566,8,6,0.73538233,0.40000000
d1,bear,5,rsi_down3+atr_expand,335,59,91,1.13818907,1.29731330,1.45696308,0.62585218,6,4,0.69179651,0.27272727
d1,bear,5,di_strong_bear+atr_expand,320,64,87,1.13786864,1.36681223,1.43158929,0.61016029,8,6,0.71175595,0.40000000
d1,bear,5,adx_rising+atr_expand,401,97,114,1.12646479,1.22120680,1.37447155,0.59406571,9,7,0.67445240,0.33333333
d1,bear,5,bb_lower+atr_expand,275,55,85,1.12420641,1.49106788,1.37073995,0.57733820,7,5,0.70184696,0.27272727
d1,bear,5,macd_bear+atr_expand,392,96,99,1.11289424,1.30986172,1.40010272,0.60048739,7,5,0.71184004,0.30769231
d1,bear,5,di_bear+atr_expand,380,78,97,1.11187958,1.40185869,1.38755138,0.59295416,8,7,0.70714286,0.33333333
d1,bear,5,volatility+bb_expand,1189,245,229,1.10939348,1.13808038,1.11407452,0.48983949,12,7,0.50345327,0.00000000
