timeframe,horizon_bars,target_pips,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,1,100,atr_expand+elliott_wave5_bull+mtf_volatility,139,19,6.24751346,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,rsi_up1+superbb_bull+horizontal_break_up+cross_group_return_up,139,31,6.24751346,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+mtf_volatility+breakout20_up,140,20,6.20288837,23.31833333,1,1,0.16666667,0.16666667
h4,1,100,atr_expand+breakout20_up+mtf_volatility,140,20,6.20288837,23.31833333,1,1,0.16666667,0.16666667
h4,1,100,atr_expand+retest_up+mtf_volatility,140,19,6.20288837,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,price20_bull+atr_expand+breakout20_up+mtf_volatility,140,20,6.20288837,23.31833333,1,1,0.16666667,0.16666667
h4,1,100,ema20_rising+atr_expand+breakout20_up+mtf_volatility,140,20,6.20288837,23.31833333,1,1,0.16666667,0.16666667
h4,1,100,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_wave5_bull,140,20,6.20288837,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,price20_bull+atr_expand+retest_up+mtf_volatility,140,19,6.20288837,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,ema20_rising+atr_expand+retest_up+mtf_volatility,140,19,6.20288837,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,atr_expand+breakout20_up+retest_up+mtf_volatility,140,19,6.20288837,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,ichimoku_cloud_bull+superbb_bull+elliott_wave5_bull,142,20,6.11552374,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,superbb_bull+horizontal_break_up+cross_group_return_up,144,31,6.03058591,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,price20_bull+superbb_bull+horizontal_break_up+cross_group_return_up,144,31,6.03058591,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,ema20_rising+superbb_bull+horizontal_break_up+cross_group_return_up,144,31,6.03058591,0.00000000,1,0,0.00000000,0.00000000
