timeframe,direction,horizon_bars,base_feature,toolkit_feature,period,samples,hit_rate
h4,bull,1,atr_expand,elliott_pullback_bull,oos,88,0.02272727
h4,bull,1,atr_expand,range_compression,disc,2565,0.07290448
h4,bull,1,atr_expand,range_compression,val,485,0.09072165
h4,bull,1,atr_expand,range_compression,oos,339,0.07669617
h4,bull,1,atr_expand,range_tight,disc,399,0.07769424
h4,bull,1,atr_expand,range_tight,val,68,0.02941176
h4,bull,1,atr_expand,range_tight,oos,71,0.08450704
h4,bull,1,atr_expand,inside_bar,disc,954,0.06813417
h4,bull,1,atr_expand,inside_bar,val,181,0.06077348
h4,bull,1,atr_expand,inside_bar,oos,180,0.04444444
h4,bull,1,atr_expand,inside_2,disc,99,0.09090909
h4,bull,1,atr_expand,inside_2,val,19,0.15789474
h4,bull,1,atr_expand,inside_2,oos,18,0.05555556
h4,bull,1,atr_expand,nr7,disc,126,0.06349206
h4,bull,1,atr_expand,nr7,val,28,0.00000000
h4,bull,1,atr_expand,nr7,oos,19,0.05263158
h4,bull,1,atr_expand,nr4,disc,752,0.05452128
h4,bull,1,atr_expand,nr4,val,130,0.01538462
h4,bull,1,atr_expand,nr4,oos,117,0.05128205
h4,bull,1,atr_expand,breakout_up20,disc,738,0.06504065
h4,bull,1,atr_expand,breakout_up20,val,143,0.09790210
h4,bull,1,atr_expand,breakout_up20,oos,93,0.06451613
h4,bull,1,atr_expand,retest_up,disc,738,0.06504065
h4,bull,1,atr_expand,retest_up,val,138,0.06521739
h4,bull,1,atr_expand,retest_up,oos,92,0.06521739
h4,bull,1,atr_expand,squeeze_release_up,disc,86,0.02325581
h4,bull,1,atr_expand,squeeze_release_up,val,11,0.09090909
h4,bull,1,atr_expand,squeeze_release_up,oos,4,0.00000000
h4,bull,1,atr_expand,pin_bull,disc,126,0.27777778
h4,bull,1,atr_expand,pin_bull,val,17,0.35294118
h4,bull,1,atr_expand,pin_bull,oos,24,0.12500000
h4,bull,1,atr_expand,engulf_bull,disc,371,0.08086253
h4,bull,1,atr_expand,engulf_bull,val,68,0.04411765
h4,bull,1,atr_expand,engulf_bull,oos,35,0.00000000
h4,bull,1,atr_expand,strong_close_bull,disc,1114,0.06822262
h4,bull,1,atr_expand,strong_close_bull,val,197,0.07106599
h4,bull,1,atr_expand,strong_close_bull,oos,162,0.06172840
h4,bull,1,atr_expand,hh20,disc,1213,0.07254740
h4,bull,1,atr_expand,hh20,val,251,0.07171315
h4,bull,1,atr_expand,hh20,oos,150,0.06000000
h4,bull,1,atr_expand,structure_bull_transition,disc,1743,0.06999426
h4,bull,1,atr_expand,structure_bull_transition,val,350,0.09428571
h4,bull,1,atr_expand,structure_bull_transition,oos,267,0.06741573
h4,bull,1,breakout20_up,sma20_bull,disc,5109,0.06576629
h4,bull,1,breakout20_up,sma20_bull,val,1251,0.06155076
h4,bull,1,breakout20_up,sma20_bull,oos,963,0.03738318
h4,bull,1,breakout20_up,sma50_bull,disc,4954,0.06600727
h4,bull,1,breakout20_up,sma50_bull,val,1220,0.05983607
h4,bull,1,breakout20_up,sma50_bull,oos,936,0.03418803
h4,bull,1,breakout20_up,sma200_bull,disc,3941,0.06749556
h4,bull,1,breakout20_up,sma200_bull,val,1036,0.06274131
h4,bull,1,breakout20_up,sma200_bull,oos,728,0.02609890
h4,bull,1,breakout20_up,sma_stack_bull,disc,2266,0.07281553
h4,bull,1,breakout20_up,sma_stack_bull,val,580,0.06724138
h4,bull,1,breakout20_up,sma_stack_bull,oos,430,0.02093023
h4,bull,1,breakout20_up,ichimoku_bull,disc,4315,0.06442642
h4,bull,1,breakout20_up,ichimoku_bull,val,1063,0.06302916
h4,bull,1,breakout20_up,ichimoku_bull,oos,831,0.02527076
h4,bull,1,breakout20_up,ichimoku_tk_bull,disc,4435,0.06493799
h4,bull,1,breakout20_up,ichimoku_tk_bull,val,1097,0.05925251
h4,bull,1,breakout20_up,ichimoku_tk_bull,oos,834,0.03956835
h4,bull,1,breakout20_up,ichimoku_cloud_bull,disc,2712,0.07264012
h4,bull,1,breakout20_up,ichimoku_cloud_bull,val,624,0.07051282
