timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
h4,100,150,rsi_down3+mtf_adx_rising+volatility,311,35,0.97142857,2,1.00000000,1.00000000
h4,100,150,rsi_down3+range_compression+atr_expand,186,24,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+range_compression,145,20,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+mtf_di_strong_bull+volatility,324,33,0.96969697,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+strong_close_bear+mtf_trend_bull,72,8,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+strong_close_bear+volatility,209,22,1.00000000,1,1.00000000,1.00000000
h4,100,150,price20_cross_down+close_near_low+volatility,173,12,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+price200_bull+strong_close_bear,99,9,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+close_near_low+mtf_adx_rising,99,11,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+atr_expand,326,34,0.97058824,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+pullback_bull+atr_expand,96,16,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+close_near_low+mtf_trend_bull,93,17,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+structure_lh+mtf_adx_rising,183,14,0.85714286,2,0.85714286,0.71428571
h4,100,150,price20_cross_down+structure_lh+close_near_low,240,18,0.88888889,1,0.77777778,0.77777778
h4,100,150,price20_cross_down+atr_expand,150,24,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+range_compression+atr_expand,88,20,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price200_bull+close_near_low,116,10,1.00000000,1,1.00000000,1.00000000
h4,100,150,macd_accel_down+price20_cross_down+atr_expand,144,24,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+mtf_trend_bull,56,18,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+price200_bull+volatility,355,38,0.97368421,2,0.92857143,0.85714286
h4,150,200,rsi_down3+price20_cross_down+structure_lh,51,14,1.00000000,2,1.00000000,1.00000000
h4,150,200,di_spread_down3+range_compression+atr_expand,51,13,1.00000000,1,1.00000000,1.00000000
h4,150,200,di_spread_down3+close_near_low+volatility,51,11,1.00000000,1,1.00000000,1.00000000
h4,150,200,price20_cross_down+di_spread_down3,39,6,1.00000000,1,1.00000000,1.00000000
h4,150,200,di_spread_down3+price20_cross_down,39,6,1.00000000,1,1.00000000,1.00000000
h4,150,200,price20_cross_down+pullback_bull+atr_expand,37,10,1.00000000,1,1.00000000,1.00000000
h4,150,200,di_spread_down3+price20_cross_down+pullback_bull,35,6,1.00000000,1,1.00000000,1.00000000
h4,150,200,di_spread_down3+strong_close_bear+volatility,35,11,1.00000000,1,1.00000000,1.00000000
h4,150,200,di_spread_down3+price20_cross_down+structure_lh,34,6,1.00000000,1,1.00000000,1.00000000
h4,150,200,di_spread_down3+price20_cross_down+range_compression,33,6,1.00000000,1,1.00000000,1.00000000
h4,150,200,rsi_down3+price20_cross_down+mtf_trend_bull,33,13,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+price20_cross_down+atr_expand,32,10,1.00000000,1,1.00000000,1.00000000
h4,150,200,di_spread_down3+price20_cross_down+volatility,32,6,1.00000000,1,1.00000000,1.00000000
h4,150,200,di_spread_down3+close_near_low+atr_expand,31,10,1.00000000,1,1.00000000,1.00000000
