timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_base_lift,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_base_lift,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_base_lift
h4,bear,1,mtf_elliott_wave5_bear,4462.00000000,74997.00000000,0.07283729,0.05306879,0.01976850,1.37250715,1.34438524,871.00000000,18705.00000000,0.07921929,0.05763165,0.02158764,1.37457958,1.35204602,637.00000000,13354.00000000,0.07378336,0.04178523,0.03199813,1.76577595,1.70628592
h4,bull,6,mtf_pin_bull,2386.00000000,77073.00000000,0.47988265,0.28665032,0.19323233,1.67410471,1.64088972,548.00000000,19028.00000000,0.53832117,0.27596174,0.26235943,1.95070942,1.90013977,459.00000000,13532.00000000,0.38997821,0.22494827,0.16502994,1.73363508,1.69289022
h4,bear,1,inside_2,1938.00000000,77521.00000000,0.02786378,0.05483675,-0.02697298,0.50812229,0.51429219,318.00000000,19258.00000000,0.01886792,0.05924810,-0.04038018,0.31845617,0.32202135,234.00000000,13757.00000000,0.07264957,0.04274188,0.02990770,1.69972818,1.68006640
h4,bear,3,atr_expand,4895.00000000,74564.00000000,0.19182840,0.16352395,0.02830444,1.17309051,1.16071372,940.00000000,18636.00000000,0.18297872,0.17122773,0.01175099,1.06862786,1.06511790,740.00000000,13251.00000000,0.21891892,0.12972606,0.08919286,1.68754776,1.62833312
h4,bear,12,pin_bear,869.00000000,78590.00000000,0.59493671,0.42752259,0.16741412,1.39159130,1.38565705,262.00000000,19314.00000000,0.60305344,0.40566428,0.19738915,1.48658252,1.47696410,146.00000000,13845.00000000,0.59589041,0.36366919,0.23222122,1.63855069,1.62770456
h4,bull,3,mtf_volatility,22922.00000000,56537.00000000,0.21093273,0.14010294,0.07082979,1.50555532,1.31393099,4310.00000000,15266.00000000,0.24756381,0.14090135,0.10666246,1.75700095,1.50600033,3968.00000000,10023.00000000,0.19480847,0.09109049,0.10371798,2.13862571,1.61658676
h4,bear,1,ll20,8702.00000000,70757.00000000,0.07124799,0.05207965,0.01916834,1.36805806,1.31505086,2058.00000000,17518.00000000,0.07434402,0.05674164,0.01760239,1.31021992,1.26883923,1322.00000000,12669.00000000,0.06959153,0.04049254,0.02909899,1.71862586,1.60934722
h4,bear,1,elliott_wave5_bear,4544.00000000,74915.00000000,0.07372359,0.05299339,0.02073020,1.39118460,1.36074399,1004.00000000,18572.00000000,0.06872510,0.05804437,0.01068073,1.18400979,1.17294032,694.00000000,13297.00000000,0.06916427,0.04188915,0.02727512,1.65112609,1.59946650
h4,bear,1,elliott_wave3_bear,4367.00000000,75092.00000000,0.07373483,0.05304160,0.02069323,1.39013201,1.36095141,964.00000000,18612.00000000,0.08506224,0.05722115,0.02784109,1.48655251,1.45176846,682.00000000,13309.00000000,0.06891496,0.04192652,0.02698844,1.64370815,1.59370107
h4,bear,1,rsi40,16985.00000000,62474.00000000,0.06299676,0.05178154,0.01121522,1.21658723,1.16275487,3553.00000000,16023.00000000,0.06867436,0.05635649,0.01231787,1.21857062,1.17207434,2790.00000000,11201.00000000,0.06881720,0.03687171,0.03194550,1.86639590,1.59144050
h4,bull,1,pin_bull,1349.00000000,78110.00000000,0.12601927,0.04853412,0.07748515,2.59650896,2.52798926,387.00000000,19189.00000000,0.11369509,0.05086247,0.06283262,2.23534333,2.18205401,278.00000000,13713.00000000,0.05035971,0.03143003,0.01892968,1.60228012,1.58333199
h4,bear,1,adx_up3,13589.00000000,65870.00000000,0.06593568,0.05175345,0.01418223,1.27403446,1.21699964,3261.00000000,16315.00000000,0.05826434,0.05865768,-0.00039334,0.99329430,0.99440509,2573.00000000,11418.00000000,0.06801399,0.03765984,0.03035416,1.80600873,1.57286571
h4,bear,3,mtf_volatility,22922.00000000,56537.00000000,0.21171800,0.14643508,0.06528292,1.44581478,1.28106157,4310.00000000,15266.00000000,0.25243619,0.14902397,0.10341222,1.69393009,1.46942936,3968.00000000,10023.00000000,0.21043347,0.10435997,0.10607350,2.01641936,1.56521778
h4,bear,6,mtf_pin_bear,1682.00000000,77777.00000000,0.45184304,0.28532857,0.16651448,1.58358852,1.56426440,318.00000000,19258.00000000,0.45283019,0.27546993,0.17736025,1.64384614,1.62683130,149.00000000,13842.00000000,0.36912752,0.23457593,0.13455159,1.57359504,1.56404091
h4,bear,3,mtf_elliott_wave3_bear,4256.00000000,75203.00000000,0.18609023,0.16408920,0.02200103,1.13407968,1.12599324,765.00000000,18811.00000000,0.18954248,0.17107012,0.01847237,1.10798125,1.10332550,577.00000000,13414.00000000,0.20970537,0.13120620,0.07849917,1.59828856,1.55980216
d1,bear,3,atr_expand,649.00000000,14668.00000000,0.53775039,0.47300245,0.06474793,1.13688709,1.13033109,147.00000000,3609.00000000,0.65986395,0.44472153,0.21514242,1.48376883,1.45619799,140.00000000,2586.00000000,0.64285714,0.39984532,0.24301182,1.60776458,1.55910015
h4,bear,1,mtf_dmi_adx_strong_bear,15800.00000000,63659.00000000,0.06208861,0.05221571,0.00987290,1.18907902,1.14599272,3611.00000000,15965.00000000,0.06646358,0.05681178,0.00965181,1.16989097,1.13434273,2778.00000000,11213.00000000,0.06731461,0.03727816,0.03003646,1.80573870,1.55669219
h4,bull,3,vertical_week_open,2497.00000000,76962.00000000,0.21105326,0.15889660,0.05215667,1.32824281,1.31468182,624.00000000,18952.00000000,0.23878205,0.16193542,0.07684664,1.47455114,1.45257844,444.00000000,13547.00000000,0.18693694,0.11832878,0.06860816,1.57980954,1.55126612
h4,bear,1,bb_lower,15951.00000000,63508.00000000,0.06413391,0.05167853,0.01245538,1.24101656,1.18374364,3886.00000000,15690.00000000,0.06973752,0.05583174,0.01390578,1.24906584,1.19021942,2575.00000000,11416.00000000,0.06679612,0.03792922,0.02886689,1.76107267,1.54470160
h4,bear,1,volatility,24772.00000000,54687.00000000,0.07141127,0.04637300,0.02503828,1.53993224,1.31806461,5376.00000000,14200.00000000,0.09095982,0.04633803,0.04462179,1.96296271,1.55242325,3939.00000000,10052.00000000,0.06651434,0.03412256,0.03239178,1.94927750,1.53818543
d1,bear,1,macd_cross_down,611.00000000,14706.00000000,0.22258592,0.25397797,-0.03139204,0.87639856,0.88074105,169.00000000,3587.00000000,0.29585799,0.25229997,0.04355802,1.17264376,1.16360482,111.00000000,2615.00000000,0.32432432,0.20688337,0.11744096,1.56766748,1.53224975
h4,bull,12,mtf_pin_bull,2386.00000000,77073.00000000,0.63202012,0.43702723,0.19499288,1.44618017,1.42706051,548.00000000,19028.00000000,0.67700730,0.41780534,0.25920196,1.62038929,1.59272863,459.00000000,13532.00000000,0.58169935,0.37444576,0.20725359,1.55349429,1.52578844
h4,bear,1,mtf_ll20,8770.00000000,70689.00000000,0.06202965,0.05320488,0.00882476,1.16586378,1.14490446,1662.00000000,17914.00000000,0.08423586,0.05621302,0.02802284,1.49851162,1.43766452,1297.00000000,12694.00000000,0.06553585,0.04096424,0.02457162,1.59983097,1.51555720
h4,bear,12,mtf_pin_bear,1682.00000000,77777.00000000,0.59036861,0.42587140,0.16449721,1.38626028,1.37501757,318.00000000,19258.00000000,0.54716981,0.40601309,0.14115673,1.34766546,1.34009711,149.00000000,13842.00000000,0.55033557,0.36410923,0.18622634,1.51145733,1.50326922
h4,bear,1,mtf_bb_lower,15847.00000000,63612.00000000,0.06221998,0.05217569,0.01004429,1.19250897,1.14841749,3065.00000000,16511.00000000,0.07732463,0.05511477,0.02220986,1.40297474,1.31970969,2431.00000000,11560.00000000,0.06499383,0.03866782,0.02632601,1.68082477,1.50302260
h4,bull,1,volatility,24772.00000000,54687.00000000,0.06519457,0.04289868,0.02229590,1.51973389,1.30782522,5376.00000000,14200.00000000,0.07645089,0.04288732,0.03356357,1.78259882,1.46725753,3939.00000000,10052.00000000,0.04772785,0.02556705,0.02216080,1.86677177,1.50058505
h4,bear,1,mtf_horizontal_break_down,2238.00000000,77221.00000000,0.07685433,0.05352171,0.02333262,1.43594690,1.41852928,391.00000000,19185.00000000,0.09974425,0.05775345,0.04199079,1.72706981,1.70234817,293.00000000,13698.00000000,0.06484642,0.04277997,0.02206645,1.51581265,1.49961357
h4,bear,3,horizontal_break_down,2555.00000000,76904.00000000,0.21330724,0.16367159,0.04963565,1.30326369,1.29067774,496.00000000,19080.00000000,0.18951613,0.17133124,0.01818489,1.10613880,1.10317209,376.00000000,13615.00000000,0.19946809,0.13264781,0.06682027,1.50374196,1.48365655
h4,bull,12,pin_bull,1349.00000000,78110.00000000,0.61823573,0.43985405,0.17838168,1.40554743,1.39593626,387.00000000,19189.00000000,0.58397933,0.42185627,0.16212306,1.38430875,1.37387085,278.00000000,13713.00000000,0.56115108,0.37759790,0.18355318,1.48610752,1.47189065
h4,bear,3,inside_2,1938.00000000,77521.00000000,0.14189886,0.16585183,-0.02395297,0.85557610,0.85860051,318.00000000,19258.00000000,0.16352201,0.17192855,-0.00840654,0.95110448,0.95186052,234.00000000,13757.00000000,0.19658120,0.13338664,0.06319456,1.47376977,1.46218369
h4,bear,1,dmi_adx_strong_bear,19842.00000000,59617.00000000,0.06057857,0.05204891,0.00852966,1.16387775,1.11812141,4783.00000000,14793.00000000,0.06544010,0.05637802,0.00906208,1.16073790,1.11687481,3771.00000000,10220.00000000,0.06311323,0.03590998,0.02720325,1.75754015,1.45953262
h4,bear,1,dmi_adx_bear,18828.00000000,60631.00000000,0.06458466,0.05094754,0.01363713,1.26766999,1.19206332,4222.00000000,15354.00000000,0.06489815,0.05685815,0.00804000,1.14140462,1.10762531,3730.00000000,10261.00000000,0.06300268,0.03605886,0.02694382,1.74721759,1.45697605
