timeframe,direction,horizon_bars,conditions,samples,base_rate,hit50_rate,rate_diff,lift
h4,bull,1,price20_bull+di_strong_bull,36365,0.04800665,0.04801320,0.00000655,1.00013636
h4,bull,1,price20_bull+volatility,16332,0.04800665,0.05504531,0.00703866,1.14661835
h4,bull,1,price20_bull+bb_bull,55639,0.04800665,0.04545373,-0.00255292,0.94682144
h4,bull,1,price20_bull+bb_upper,25799,0.04800665,0.04736618,-0.00064048,0.98665859
h4,bull,1,price20_bull+body_bull,12881,0.04800665,0.05279093,0.00478428,1.09965867
h4,bull,1,price20_bull+rsi_up1,15813,0.04800665,0.05558718,0.00758052,1.15790565
h4,bull,1,price20_bull+rsi_up3,20297,0.04800665,0.04907129,0.00106464,1.02217688
h4,bull,1,price20_bull+rsi_cross50_up,5471,0.04800665,0.04971669,0.00171003,1.03562078
h4,bull,1,price20_bull+rsi_cross55_up,5852,0.04800665,0.05553657,0.00752992,1.15685150
h4,bull,1,price20_bull+macd_cross_up,3021,0.04800665,0.04766634,-0.00034032,0.99291103
h4,bull,1,price20_bull+macd_accel_up,32844,0.04800665,0.04758860,-0.00041805,0.99129178
h4,bull,1,price20_bull+adx_up3,8878,0.04800665,0.04404145,-0.00396520,0.91740306
h4,bull,1,price20_bull+adx_cross25_up,987,0.04800665,0.04964539,0.00163874,1.03413562
h4,bull,1,price20_bull+di_cross_up,4177,0.04800665,0.05171175,0.00370510,1.07717892
h4,bull,1,price20_bull+di_spread_up3,20155,0.04800665,0.05229472,0.00428806,1.08932226
h4,bull,1,price20_bull+ema20_slope_up3,54365,0.04800665,0.04528649,-0.00272016,0.94333777
h4,bull,1,price20_bull+price20_cross_up,7036,0.04800665,0.04832291,0.00031626,1.00658778
h4,bull,1,price20_bull+price200_cross_up,1678,0.04800665,0.06376639,0.01575974,1.32828231
h4,bull,1,price20_bull+breakout20_up,7323,0.04800665,0.06131367,0.01330702,1.27719108
h4,bull,1,price20_bull+atr_expand,3058,0.04800665,0.05951602,0.01150937,1.23974531
h4,bull,1,price20_bull+bb_expand,13653,0.04800665,0.04929320,0.00128654,1.02679925
h4,bull,1,price20_bull+body_expand,17342,0.04800665,0.04987891,0.00187225,1.03899987
h4,bull,1,price200_bull+ema20_rising,43555,0.04800665,0.04353117,-0.00447549,0.90677363
h4,bull,1,price200_bull+ema200_rising,62174,0.04800665,0.04469714,-0.00330951,0.93106137
h4,bull,1,price200_bull+momentum_bull,32284,0.04800665,0.04175443,-0.00625222,0.86976339
h4,bull,1,price200_bull+rsi60,24434,0.04800665,0.04305476,-0.00495189,0.89684985
h4,bull,1,price200_bull+macd_bull,32621,0.04800665,0.04506300,-0.00294366,0.93868231
h4,bull,1,price200_bull+macd_rising,30824,0.04800665,0.04490008,-0.00310658,0.93528865
h4,bull,1,price200_bull+adx25,24809,0.04800665,0.04611230,-0.00189436,0.96053973
h4,bull,1,price200_bull+adx_rising,29019,0.04800665,0.04800303,-0.00000362,0.99992458
h4,bull,1,price200_bull+di_bull,40205,0.04800665,0.04452183,-0.00348483,0.92740948
h4,bull,1,price200_bull+di_strong_bull,30185,0.04800665,0.04601623,-0.00199042,0.95853866
h4,bull,1,price200_bull+volatility,17701,0.04800665,0.05666347,0.00865681,1.18032525
h4,bull,1,price200_bull+bb_bull,41751,0.04800665,0.04335226,-0.00465440,0.90304681
h4,bull,1,price200_bull+bb_upper,19911,0.04800665,0.04570338,-0.00230327,0.95202179
h4,bull,1,price200_bull+body_bull,10862,0.04800665,0.04907015,0.00106350,1.02215317
h4,bull,1,price200_bull+rsi_up1,13715,0.04800665,0.05220561,0.00419896,1.08746623
h4,bull,1,price200_bull+rsi_up3,15941,0.04800665,0.04642118,-0.00158548,0.96697384
